ClaimNumber,PolicyNumber,PolicySource,EffectiveDate,ExpirationDate,CancellationDate,LossLocationID,HIPaymentStatus_Ext,Type,Driver,Vehicle
CLM000080,POL000080,Agent,2024-09-30,2025-05-20,2026-09-28,LOC0040,Paid,Nominated,Not Nominated,Active
CLM000081,POL000081,Online,2020-02-10,2029-03-01,2029-07-08,LOC0747,Not Paid,Not Nominated,Nominated,Active
CLM000082,POL000082,Broker,2021-12-14,2025-08-17,2029-04-28,LOC0240,Not Paid,Not Nominated,Nominated,Not Active
CLM000083,POL000083,Online,2020-05-11,2026-12-20,2026-07-24,LOC0753,Pending,Not Nominated,Not Nominated,Not Active
CLM000084,POL000084,Online,2021-10-08,2028-07-27,,LOC0932,Pending,Not Nominated,Nominated,Active
CLM000085,POL000085,Broker,2021-10-27,2029-01-16,2029-05-23,LOC0126,Not Paid,Nominated,Not Nominated,Not Active
CLM000086,POL000086,Online,2023-09-14,2028-08-22,2028-10-20,LOC0744,Paid,Not Nominated,Not Nominated,Active
CLM000087,POL000087,Agent,2020-01-07,2026-04-25,2027-02-24,LOC0212,Paid,Not Nominated,Not Nominated,Active
CLM000088,POL000088,Online,2020-06-13,2025-02-19,,LOC0032,Not Paid,Not Nominated,Not Nominated,Active
CLM000089,POL000089,Agent,2024-02-25,2028-03-19,2025-08-06,LOC0451,Not Paid,Not Nominated,Nominated,Active
CLM000090,POL000090,Broker,2024-09-29,2027-08-27,2025-05-19,LOC0615,Pending,Nominated,Nominated,Active
CLM000091,POL000091,Agent,2023-04-25,2027-05-06,2027-11-29,LOC0768,Paid,Not Nominated,Nominated,Active
CLM000092,POL000092,Online,2020-10-30,2027-05-27,2029-05-08,LOC0945,Pending,Nominated,Nominated,Not Active
CLM000093,POL000093,Online,2020-09-12,2028-06-14,2025-02-26,LOC0684,Paid,Nominated,Not Nominated,Active
CLM000094,POL000094,Agent,2021-08-30,2026-07-27,2027-06-21,LOC0657,Pending,Not Nominated,Nominated,Not Active
CLM000095,POL000095,Online,2020-12-18,2025-09-22,2026-12-13,LOC0656,Pending,Not Nominated,Not Nominated,Not Active
CLM000096,POL000096,Agent,2024-10-02,2026-02-02,2026-08-12,LOC0212,Paid,Not Nominated,Nominated,Not Active
CLM000097,POL000097,Online,2024-02-07,2025-06-14,2029-04-15,LOC0463,Pending,Not Nominated,Not Nominated,Active
CLM000098,POL000098,Agent,2022-03-24,2025-01-19,,LOC0647,Paid,Nominated,Nominated,Active
CLM000099,POL000099,Online,2021-09-11,2029-07-31,2025-10-14,LOC0391,Paid,Not Nominated,Nominated,Active
CLM000100,POL000100,Agent,2022-04-23,2026-06-08,2026-11-29,LOC0650,Pending,Not Nominated,Not Nominated,Active
CLM000101,POL000101,Agent,2023-04-05,2026-01-23,2027-06-01,LOC0645,Pending,Nominated,Not Nominated,Active
CLM000102,POL000102,Online,2024-12-12,2026-06-03,,LOC0713,Paid,Not Nominated,Nominated,Active
CLM000103,POL000103,Agent,2020-05-03,2029-06-25,2026-12-05,LOC0863,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000104,POL000104,Broker,2022-01-02,2026-09-09,,LOC0735,Pending,Not Nominated,Nominated,Not Active
CLM000105,POL000105,Broker,2022-08-11,2027-12-28,2026-12-21,LOC0799,Paid,Not Nominated,Not Nominated,Active
CLM000106,POL000106,Online,2020-10-02,2025-03-30,,LOC0314,Not Paid,Nominated,Not Nominated,Not Active
CLM000107,POL000107,Broker,2020-02-25,2027-09-11,2025-10-28,LOC0686,Paid,Nominated,Nominated,Active
CLM000108,POL000108,Online,2023-10-07,2027-04-21,2029-05-02,LOC0342,Not Paid,Nominated,Not Nominated,Not Active
CLM000109,POL000109,Agent,2020-05-25,2025-10-26,2025-11-27,LOC0587,Paid,Not Nominated,Nominated,Not Active
CLM000110,POL000110,Agent,2021-03-20,2025-12-18,2025-12-07,LOC0542,Pending,Not Nominated,Not Nominated,Active
CLM000111,POL000111,Online,2023-03-09,2029-07-27,2029-03-02,LOC0654,Pending,Nominated,Nominated,Active
CLM000112,POL000112,Broker,2021-05-23,2029-09-17,2025-11-27,LOC0392,Not Paid,Not Nominated,Nominated,Not Active
CLM000113,POL000113,Online,2023-04-12,2027-08-27,2027-11-10,LOC0621,Pending,Nominated,Not Nominated,Not Active
CLM000114,POL000114,Online,2020-05-01,2028-06-30,2028-04-26,LOC0108,Not Paid,Not Nominated,Nominated,Active
CLM000115,POL000115,Online,2020-01-09,2029-06-11,,LOC0947,Paid,Not Nominated,Not Nominated,Active
CLM000116,POL000116,Online,2022-10-26,2027-05-26,2028-03-07,LOC0283,Not Paid,Nominated,Not Nominated,Not Active
CLM000117,POL000117,Online,2023-06-30,2026-03-29,,LOC0413,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000118,POL000118,Online,2022-06-11,2025-07-12,2027-05-26,LOC0368,Paid,Not Nominated,Not Nominated,Not Active
CLM000119,POL000119,Broker,2023-04-15,2026-04-30,2027-06-12,LOC0029,Paid,Nominated,Nominated,Active
CLM000120,POL000120,Broker,2024-01-24,2025-12-12,2025-05-11,LOC0936,Pending,Nominated,Not Nominated,Not Active
CLM000121,POL000121,Agent,2020-04-21,2027-10-06,2025-04-28,LOC0886,Pending,Not Nominated,Nominated,Not Active
CLM000122,POL000122,Online,2023-09-08,2029-01-24,2027-08-02,LOC0971,Paid,Nominated,Not Nominated,Active
CLM000123,POL000123,Broker,2020-03-16,2025-05-29,2025-01-09,LOC0046,Pending,Not Nominated,Not Nominated,Active
CLM000124,POL000124,Agent,2021-12-01,2026-11-13,,LOC0195,Paid,Nominated,Nominated,Not Active
CLM000125,POL000125,Agent,2021-07-22,2027-04-20,2025-05-07,LOC0121,Pending,Not Nominated,Nominated,Not Active
CLM000126,POL000126,Broker,2020-09-04,2027-09-24,2026-07-23,LOC0656,Not Paid,Nominated,Not Nominated,Not Active
CLM000127,POL000127,Online,2024-09-28,2026-03-13,2026-03-15,LOC0136,Pending,Not Nominated,Not Nominated,Active
CLM000128,POL000128,Agent,2021-11-09,2028-08-25,2029-05-12,LOC0945,Not Paid,Nominated,Not Nominated,Not Active
CLM000129,POL000129,Online,2020-07-26,2029-05-06,2029-05-19,LOC0865,Not Paid,Nominated,Nominated,Not Active
CLM000130,POL000130,Agent,2020-10-12,2029-11-14,2029-07-03,LOC0319,Pending,Nominated,Not Nominated,Active
CLM000131,POL000131,Broker,2024-08-01,2025-08-09,2029-04-25,LOC0735,Not Paid,Nominated,Nominated,Active
CLM000132,POL000132,Agent,2020-09-03,2025-02-05,,LOC0786,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000133,POL000133,Broker,2022-03-18,2027-01-09,2026-06-14,LOC0555,Not Paid,Nominated,Not Nominated,Active
CLM000134,POL000134,Agent,2022-12-23,2027-01-12,2029-08-22,LOC0180,Pending,Not Nominated,Nominated,Not Active
CLM000135,POL000135,Online,2021-09-05,2026-03-31,,LOC0569,Pending,Not Nominated,Not Nominated,Active
CLM000136,POL000136,Broker,2020-07-28,2028-05-21,2026-03-20,LOC0279,Pending,Nominated,Not Nominated,Not Active
CLM000137,POL000137,Broker,2022-10-12,2027-06-18,,LOC0515,Paid,Not Nominated,Not Nominated,Not Active
CLM000138,POL000138,Broker,2020-03-28,2027-09-20,2027-06-27,LOC0358,Paid,Nominated,Nominated,Active
CLM000139,POL000139,Agent,2024-12-30,2027-07-08,2028-07-12,LOC0219,Pending,Not Nominated,Not Nominated,Not Active
CLM000140,POL000140,Agent,2023-10-10,2028-08-23,2025-08-21,LOC0481,Not Paid,Nominated,Not Nominated,Not Active
CLM000141,POL000141,Broker,2020-11-14,2028-08-29,2025-06-12,LOC0734,Pending,Not Nominated,Not Nominated,Not Active
CLM000142,POL000142,Online,2023-01-29,2027-03-26,2029-05-25,LOC0223,Paid,Nominated,Not Nominated,Not Active
CLM000143,POL000143,Broker,2023-09-21,2027-05-17,2027-05-14,LOC0333,Not Paid,Not Nominated,Nominated,Not Active
CLM000144,POL000144,Broker,2023-04-13,2028-12-07,2025-04-03,LOC0036,Pending,Nominated,Nominated,Not Active
CLM000145,POL000145,Online,2020-07-14,2028-09-27,2025-07-15,LOC0360,Pending,Nominated,Not Nominated,Active
CLM000146,POL000146,Online,2020-07-04,2028-12-03,2027-01-23,LOC0170,Pending,Nominated,Not Nominated,Active
CLM000147,POL000147,Agent,2023-01-19,2027-08-21,2026-12-21,LOC0381,Pending,Not Nominated,Not Nominated,Active
CLM000148,POL000148,Broker,2024-07-15,2027-04-25,2029-09-29,LOC0939,Paid,Not Nominated,Not Nominated,Active
CLM000149,POL000149,Agent,2022-08-08,2025-08-28,2026-02-18,LOC0340,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000150,POL000150,Broker,2024-05-28,2025-05-10,2028-03-10,LOC0947,Pending,Nominated,Nominated,Not Active
CLM000151,POL000151,Online,2022-04-24,2028-02-26,2029-10-11,LOC0124,Paid,Not Nominated,Nominated,Active
CLM000152,POL000152,Agent,2021-08-07,2027-01-05,2028-10-16,LOC0870,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000153,POL000153,Broker,2023-12-17,2027-03-19,,LOC0587,Paid,Nominated,Nominated,Active
CLM000154,POL000154,Broker,2022-07-16,2028-08-25,2029-09-05,LOC0396,Pending,Not Nominated,Not Nominated,Active
CLM000155,POL000155,Agent,2022-05-12,2027-07-15,2029-08-05,LOC0626,Pending,Not Nominated,Not Nominated,Active
CLM000156,POL000156,Online,2023-11-19,2025-01-05,2025-09-18,LOC0501,Not Paid,Nominated,Not Nominated,Active
CLM000157,POL000157,Agent,2020-06-29,2029-06-08,2029-07-07,LOC0284,Not Paid,Not Nominated,Nominated,Not Active
CLM000158,POL000158,Broker,2023-04-06,2028-03-23,2026-05-23,LOC0070,Not Paid,Nominated,Not Nominated,Active
CLM000159,POL000159,Online,2023-03-28,2026-11-09,2027-04-17,LOC0457,Pending,Not Nominated,Not Nominated,Active
CLM000160,POL000160,Broker,2023-02-11,2025-03-05,2027-06-30,LOC0081,Paid,Not Nominated,Nominated,Active
CLM000161,POL000161,Agent,2023-04-27,2029-03-07,2026-07-28,LOC0000,Not Paid,Not Nominated,Nominated,Active
CLM000162,POL000162,Broker,2024-12-26,2026-02-06,2026-06-08,LOC0119,Paid,Nominated,Nominated,Not Active
CLM000163,POL000163,Online,2022-01-16,2028-08-27,2027-06-30,LOC0305,Paid,Not Nominated,Nominated,Not Active
CLM000164,POL000164,Online,2024-12-26,2027-09-06,2027-12-14,LOC0519,Pending,Not Nominated,Not Nominated,Active
CLM000165,POL000165,Online,2021-05-11,2025-11-17,2025-06-01,LOC0908,Pending,Nominated,Not Nominated,Active
CLM000166,POL000166,Broker,2023-07-29,2029-04-06,2027-05-13,LOC0642,Not Paid,Nominated,Not Nominated,Active
CLM000167,POL000167,Agent,2024-12-03,2026-03-07,,LOC0635,Paid,Nominated,Nominated,Active
CLM000168,POL000168,Broker,2020-04-04,2025-01-20,2028-09-29,LOC0610,Paid,Nominated,Not Nominated,Not Active
CLM000169,POL000169,Broker,2023-06-07,2028-06-01,2027-12-05,LOC0746,Paid,Nominated,Nominated,Active
CLM000170,POL000170,Broker,2023-05-11,2025-10-20,2028-12-07,LOC0605,Paid,Not Nominated,Not Nominated,Not Active
CLM000171,POL000171,Online,2022-05-23,2027-06-05,2026-09-17,LOC0577,Not Paid,Nominated,Not Nominated,Active
CLM000172,POL000172,Online,2023-07-19,2029-05-29,2028-07-09,LOC0232,Pending,Nominated,Nominated,Not Active
CLM000173,POL000173,Agent,2021-08-27,2026-01-10,2028-08-07,LOC0194,Paid,Nominated,Not Nominated,Not Active
CLM000174,POL000174,Agent,2023-03-11,2029-05-07,,LOC0674,Paid,Not Nominated,Nominated,Not Active
CLM000175,POL000175,Broker,2020-07-15,2026-01-17,2025-03-20,LOC0629,Paid,Not Nominated,Nominated,Active
CLM000176,POL000176,Online,2021-09-17,2028-09-01,2025-06-01,LOC0762,Pending,Not Nominated,Nominated,Not Active
CLM000177,POL000177,Online,2023-04-17,2026-12-22,2026-12-15,LOC0455,Not Paid,Not Nominated,Nominated,Active
CLM000178,POL000178,Online,2021-05-21,2026-04-16,2026-05-18,LOC0284,Not Paid,Not Nominated,Nominated,Not Active
CLM000179,POL000179,Agent,2023-02-20,2026-11-08,,LOC0828,Pending,Nominated,Not Nominated,Active
CLM000180,POL000180,Broker,2020-09-05,2029-04-02,,LOC0383,Not Paid,Nominated,Nominated,Active
CLM000181,POL000181,Broker,2021-09-25,2029-08-15,2026-05-04,LOC0663,Not Paid,Nominated,Not Nominated,Not Active
CLM000182,POL000182,Broker,2023-11-04,2029-03-08,2025-03-10,LOC0211,Not Paid,Not Nominated,Nominated,Not Active
CLM000183,POL000183,Online,2023-10-06,2025-12-02,2025-02-17,LOC0182,Pending,Not Nominated,Not Nominated,Active
CLM000184,POL000184,Online,2022-04-24,2025-01-15,,LOC0796,Not Paid,Not Nominated,Nominated,Active
CLM000185,POL000185,Broker,2023-12-30,2028-02-13,2025-03-25,LOC0676,Pending,Not Nominated,Not Nominated,Active
CLM000186,POL000186,Agent,2023-04-20,2029-05-28,2025-05-17,LOC0757,Pending,Not Nominated,Nominated,Not Active
CLM000187,POL000187,Agent,2023-02-13,2026-02-13,2027-10-04,LOC0980,Paid,Nominated,Nominated,Not Active
CLM000188,POL000188,Agent,2021-04-19,2028-07-08,2028-04-26,LOC0086,Paid,Nominated,Nominated,Active
CLM000189,POL000189,Broker,2021-11-28,2027-01-08,2029-01-06,LOC0123,Pending,Not Nominated,Not Nominated,Not Active
CLM000190,POL000190,Broker,2024-10-26,2025-01-23,2029-08-30,LOC0418,Paid,Nominated,Not Nominated,Not Active
CLM000191,POL000191,Agent,2023-06-20,2027-03-17,2026-01-03,LOC0629,Paid,Not Nominated,Not Nominated,Not Active
CLM000192,POL000192,Agent,2024-12-18,2026-02-06,,LOC0957,Paid,Not Nominated,Not Nominated,Active
CLM000193,POL000193,Agent,2020-02-15,2029-03-02,2025-09-24,LOC0133,Not Paid,Nominated,Not Nominated,Not Active
CLM000194,POL000194,Agent,2022-06-05,2029-12-25,,LOC0201,Not Paid,Not Nominated,Nominated,Active
CLM000195,POL000195,Broker,2020-07-20,2028-11-06,2026-03-23,LOC0209,Paid,Not Nominated,Not Nominated,Active
CLM000196,POL000196,Agent,2021-02-04,2028-04-04,2025-02-13,LOC0761,Pending,Not Nominated,Nominated,Active
CLM000197,POL000197,Online,2024-11-23,2025-11-29,2027-02-15,LOC0714,Paid,Nominated,Nominated,Not Active
CLM000198,POL000198,Broker,2024-04-21,2028-10-03,2028-11-01,LOC0780,Not Paid,Not Nominated,Nominated,Active
CLM000199,POL000199,Online,2024-08-13,2029-01-15,2025-02-03,LOC0889,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000200,POL000200,Broker,2020-02-28,2026-02-26,2026-07-24,LOC0107,Not Paid,Not Nominated,Not Nominated,Active
CLM000201,POL000201,Online,2024-03-02,2025-10-09,,LOC0613,Not Paid,Not Nominated,Not Nominated,Active
CLM000202,POL000202,Broker,2023-06-17,2025-03-20,2027-11-02,LOC0049,Not Paid,Not Nominated,Nominated,Not Active
CLM000203,POL000203,Agent,2023-12-24,2027-05-20,2026-07-13,LOC0508,Paid,Not Nominated,Not Nominated,Not Active
CLM000204,POL000204,Agent,2021-04-26,2027-12-09,2026-06-22,LOC0076,Paid,Not Nominated,Not Nominated,Active
CLM000205,POL000205,Online,2020-08-03,2026-05-06,2027-07-10,LOC0965,Not Paid,Nominated,Not Nominated,Not Active
CLM000206,POL000206,Agent,2024-02-01,2026-12-22,,LOC0507,Not Paid,Not Nominated,Not Nominated,Not Active
CLM000207,POL000207,Online,2022-05-12,2027-05-29,,LOC0295,Paid,Nominated,Nominated,Active
CLM000208,POL000208,Broker,2021-09-06,2029-03-10,,LOC0477,Not Paid,Not Nominated,Not Nominated,Active
CLM000209,POL000209,Online,2020-05-02,2025-01-04,2029-07-04,LOC0866,Not Paid,Nominated,Nominated,Active
CLM000210,POL000210,Agent,2020-08-11,2029-04-11,,LOC0843,Pending,Not Nominated,Not Nominated,Not Active
CLM000211,POL000211,Agent,2023-12-08,2026-04-03,2029-03-28,LOC0517,Paid,Not Nominated,Nominated,Not Active
CLM000212,POL000212,Online,2021-09-16,2027-10-10,2029-05-09,LOC0493,Paid,Not Nominated,Not Nominated,Not Active
CLM000213,POL000213,Broker,2021-06-15,2027-04-17,2026-03-06,LOC0335,Paid,Nominated,Not Nominated,Active
CLM000214,POL000214,Broker,2023-08-07,2029-12-18,2029-02-12,LOC0634,Pending,Nominated,Nominated,Active
CLM000215,POL000215,Broker,2020-07-01,2027-11-18,2026-09-04,LOC0413,Not Paid,Not Nominated,Nominated,Active
CLM000216,POL000216,Agent,2022-01-17,2028-08-03,,LOC0880,Not Paid,Not Nominated,Nominated,Not Active
CLM000217,POL000217,Online,2023-08-02,2028-12-15,2029-07-28,LOC0676,Pending,Not Nominated,Not Nominated,Not Active
CLM000218,POL000218,Broker,2020-10-02,2027-07-08,2025-05-22,LOC0750,Not Paid,Not Nominated,Nominated,Active
CLM000219,POL000219,Broker,2024-07-14,2026-09-24,2027-08-06,LOC0595,Paid,Nominated,Nominated,Not Active
CLM000220,POL000220,Online,2024-12-08,2026-06-06,2025-11-19,LOC0798,Paid,Nominated,Nominated,Not Active
CLM000221,POL000221,Online,2022-12-20,2029-09-10,,LOC0948,Not Paid,Nominated,Not Nominated,Active
CLM000222,POL000222,Broker,2021-10-14,2027-11-15,2027-06-12,LOC0780,Paid,Not Nominated,Not Nominated,Not Active
CLM000223,POL000223,Broker,2023-05-28,2029-08-22,2027-06-05,LOC0746,Not Paid,Nominated,Not Nominated,Not Active
CLM000224,POL000224,Broker,2023-01-09,2025-11-28,2026-05-28,LOC0269,Paid,Not Nominated,Not Nominated,Active
CLM000225,POL000225,Online,2021-08-13,2028-01-11,2025-03-30,LOC0467,Not Paid,Nominated,Not Nominated,Active
