ClaimNumber,HowReported,MainContactType,ReportedDate,PolicyLocations,LossDate,LossCause,LossLocationID,Notes,State,Assessment,LossCause_asper_PDS
CLM000029,In-Person,Agent,2023-07-31,LOC0215,2023-02-11,Natural Disaster,LOC0393,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000030,Phone,Agent,2023-12-14,LOC0838,2024-05-31,Theft,LOC0649,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000031,Online,Broker,2022-03-27,LOC0135,2023-05-17,Fire,LOC0321,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,YES
CLM000032,Email,Broker,2023-12-16,LOC0056,2022-02-15,Theft,LOC0855,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,YES
CLM000033,Online,Policyholder,2023-02-19,LOC0103,2021-08-16,Fire,LOC0949,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000034,Email,Broker,2022-11-15,LOC0544,2021-03-01,Fire,LOC0669,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000035,Online,Broker,2024-11-13,LOC0874,2024-02-29,Natural Disaster,LOC0124,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000036,Email,Policyholder,2022-09-09,LOC0894,2021-11-21,Fire,LOC0608,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000037,Email,Broker,2022-03-15,LOC0424,2021-12-04,Fire,LOC0198,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,NO
CLM000038,Phone,Broker,2024-10-06,LOC0620,2024-09-03,Collision,LOC0637,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000039,Online,Agent,2022-10-25,LOC0479,2021-09-01,Natural Disaster,LOC0355,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000040,In-Person,Broker,2023-07-11,LOC0050,2024-11-29,Collision,LOC0267,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000041,Phone,Policyholder,2023-03-20,LOC0770,2024-05-04,Theft,LOC0658,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000042,Phone,Agent,2024-03-27,LOC0255,2022-08-25,Theft,LOC0402,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000043,Online,Agent,2022-01-01,LOC0975,2023-06-07,Fire,LOC0085,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,YES
CLM000044,In-Person,Broker,2023-04-12,LOC0707,2021-04-14,Natural Disaster,LOC0430,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
CLM000045,Email,Broker,2023-08-25,LOC0012,2024-03-20,Theft,LOC0657,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000046,In-Person,Agent,2023-06-18,LOC0457,2022-11-22,Theft,LOC0849,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000047,In-Person,Policyholder,2023-07-31,LOC0607,2022-12-26,Natural Disaster,LOC0300,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000048,Phone,Broker,2024-11-04,LOC0387,2023-02-09,Fire,LOC0094,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000049,Phone,Broker,2023-05-15,LOC0971,2022-09-18,Fire,LOC0909,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
CLM000050,Phone,Agent,2023-08-19,LOC0688,2024-07-27,Collision,LOC0027,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,NO
CLM000051,Online,Agent,2022-04-19,LOC0878,2023-10-08,Fire,LOC0388,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000052,Email,Policyholder,2024-04-25,LOC0121,2022-08-21,Collision,LOC0016,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000053,In-Person,Agent,2022-08-14,LOC0243,2023-02-08,Fire,LOC0398,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,NO
CLM000054,Email,Broker,2023-10-07,LOC0157,2023-09-05,Natural Disaster,LOC0951,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000055,In-Person,Policyholder,2023-04-16,LOC0700,2022-09-26,Natural Disaster,LOC0224,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000056,Email,Policyholder,2024-05-26,LOC0312,2021-07-30,Collision,LOC0563,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000057,In-Person,Policyholder,2024-03-26,LOC0519,2024-08-10,Theft,LOC0104,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,YES
CLM000058,Email,Broker,2023-07-15,LOC0757,2021-11-08,Theft,LOC0195,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,YES
CLM000059,Online,Broker,2023-05-29,LOC0957,2023-08-27,Fire,LOC0568,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000060,Phone,Policyholder,2024-12-11,LOC0726,2024-07-21,Theft,LOC0348,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000061,Email,Agent,2023-03-18,LOC0068,2021-10-03,Fire,LOC0392,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,YES
CLM000062,In-Person,Policyholder,2022-04-06,LOC0136,2024-03-03,Fire,LOC0827,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000063,In-Person,Policyholder,2024-07-22,LOC0456,2024-05-11,Natural Disaster,LOC0830,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000064,In-Person,Agent,2023-07-04,LOC0164,2021-12-29,Natural Disaster,LOC0673,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,NO
CLM000065,Email,Policyholder,2022-07-12,LOC0001,2023-02-04,Theft,LOC0293,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,YES
CLM000066,Email,Policyholder,2024-06-16,LOC0101,2022-02-04,Natural Disaster,LOC0984,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000067,Online,Broker,2024-01-22,LOC0352,2024-10-13,Fire,LOC0385,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,NO
CLM000068,Online,Broker,2024-05-18,LOC0876,2024-12-21,Theft,LOC0440,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000069,Online,Agent,2024-07-16,LOC0923,2023-11-13,Collision,LOC0713,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,YES
CLM000070,Online,Agent,2022-07-02,LOC0342,2021-04-30,Natural Disaster,LOC0510,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000071,Phone,Broker,2024-08-29,LOC0219,2021-04-19,Theft,LOC0175,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000072,In-Person,Policyholder,2023-04-16,LOC0582,2022-07-24,Collision,LOC0672,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000073,Online,Policyholder,2022-06-28,LOC0258,2022-12-05,Theft,LOC0377,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000074,In-Person,Agent,2023-03-20,LOC0779,2023-06-12,Natural Disaster,LOC0380,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,NO
CLM000075,In-Person,Policyholder,2024-03-11,LOC0078,2022-10-10,Natural Disaster,LOC0926,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000076,In-Person,Broker,2022-05-29,LOC0470,2023-12-07,Natural Disaster,LOC0963,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,NO
CLM000077,Online,Broker,2024-09-20,LOC0442,2023-05-24,Collision,LOC0961,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000078,Online,Policyholder,2023-11-19,LOC0815,2023-03-26,Natural Disaster,LOC0365,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,YES,YES
CLM000079,Phone,Policyholder,2023-02-19,LOC0352,2024-06-20,Fire,LOC0610,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,YES
CLM000080,Phone,Broker,2022-07-28,LOC0113,2021-03-12,Natural Disaster,LOC0040,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,NO
CLM000081,Online,Broker,2022-09-08,LOC0374,2024-11-28,Fire,LOC0747,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000082,In-Person,Policyholder,2022-10-13,LOC0976,2023-05-19,Natural Disaster,LOC0240,Down lay when move. Daughter light collection cup sea. Its church it.,Open,NO,NO
CLM000083,Phone,Agent,2024-08-06,LOC0482,2023-06-24,Theft,LOC0753,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,NO
CLM000084,Phone,Broker,2024-12-14,LOC0336,2022-09-01,Fire,LOC0932,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,YES
CLM000085,In-Person,Agent,2023-07-12,LOC0393,2024-07-07,Natural Disaster,LOC0126,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,NO
CLM000086,Phone,Broker,2022-09-20,LOC0010,2024-07-13,Theft,LOC0744,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,YES
CLM000087,Phone,Broker,2022-12-15,LOC0232,2024-03-19,Fire,LOC0212,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,YES
CLM000088,Phone,Broker,2024-09-19,LOC0277,2022-03-26,Fire,LOC0032,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000089,Phone,Policyholder,2022-02-28,LOC0254,2024-06-20,Collision,LOC0451,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,YES,YES
CLM000090,Online,Broker,2024-07-07,LOC0131,2021-04-03,Theft,LOC0615,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,NO,NO
CLM000091,In-Person,Broker,2022-08-14,LOC0709,2021-02-27,Collision,LOC0768,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,YES
CLM000092,Phone,Agent,2023-02-14,LOC0663,2021-12-09,Theft,LOC0945,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
CLM000093,In-Person,Broker,2023-06-16,LOC0319,2023-01-08,Fire,LOC0684,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000094,Email,Agent,2022-07-28,LOC0411,2021-12-03,Collision,LOC0657,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,NO
CLM000095,In-Person,Agent,2024-04-06,LOC0883,2023-08-25,Fire,LOC0656,Down lay when move. Daughter light collection cup sea. Its church it.,Pending,YES,YES
CLM000096,Phone,Agent,2023-06-16,LOC0005,2022-01-24,Natural Disaster,LOC0212,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,NO,NO
CLM000097,In-Person,Policyholder,2024-12-23,LOC0224,2021-01-11,Fire,LOC0463,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000098,Online,Broker,2024-02-20,LOC0986,2021-08-29,Theft,LOC0647,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Pending,YES,YES
CLM000099,Email,Agent,2024-02-04,LOC0835,2023-10-06,Fire,LOC0391,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Open,NO,YES
CLM000100,Phone,Broker,2023-12-25,LOC0688,2022-03-10,Theft,LOC0650,Down lay when move. Daughter light collection cup sea. Its church it.,Open,YES,YES
CLM000101,Email,Agent,2023-06-27,LOC0020,2023-06-10,Collision,LOC0645,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,YES,YES
CLM000102,Email,Policyholder,2024-06-15,LOC0659,2021-09-10,Theft,LOC0713,"On 2024-01-01 at 05:41:32, a head-on crash occurred at PSC 1481, Box 2700
APO AP 43878. The accident involved 2 vehicles, and there were serious injuries. The weather was stormy at the time of the accident. The vehicles sustained the following damage: moderate damage to the damaged rear axle, severe damage to the severely dented hood.",Closed,NO,YES
CLM000103,In-Person,Policyholder,2022-05-23,LOC0541,2023-10-09,Theft,LOC0863,Down lay when move. Daughter light collection cup sea. Its church it.,Closed,NO,YES
