ClaimNumber,CreateTime,AssignmentStatus,Subject,ExposureID,AssignedByUserID,AssignedUserID
CLM000792,2024-12-14 14:51:26,Unassigned,Develop discussion thus throw.,EXP00519,ross08,april87
CLM000849,2024-05-15 09:08:00,Unassigned,Job training try war.,EXP00347,alexis70,alice92
CLM000007,2022-08-30 21:56:40,Assigned,Music cover open rule feel here.,EXP00793,ashleysmith,rojasdiane
CLM000626,2022-04-09 23:30:58,Unassigned,Might author if treat.,EXP00382,johncooper,waynepetersen
CLM000923,2023-01-10 23:05:44,Assigned,Both will onto but.,EXP00766,whitechristopher,brownalicia
CLM000126,2024-08-28 21:59:10,Assigned,Later art capital kid.,EXP00252,kimmendoza,rhodesnathaniel
CLM000011,2022-02-22 06:32:55,Assigned,Serve government film bad month week.,EXP00338,amyrivera,ginabaker
CLM000601,2022-12-13 18:47:02,Assigned,Challenge quite executive meeting word home space.,EXP00512,derek51,marthamills
CLM000497,2024-09-28 14:49:47,Unassigned,Myself or debate series then.,EXP00109,millssharon,scott40
CLM000195,2022-07-07 03:32:32,Unassigned,Bit nice run certainly set.,EXP00284,amberperry,amyfrancis
CLM000329,2024-05-20 15:34:03,Assigned,Others as day sea.,EXP00604,patrick54,andersonamy
CLM000532,2022-02-25 17:19:26,Assigned,Per front subject fight door enough medical.,EXP00207,ybriggs,miranda71
CLM000256,2023-11-03 15:51:34,Unassigned,Kid activity agreement community size question approach.,EXP00667,cbryant,jennifer40
CLM000063,2022-04-04 08:57:06,Assigned,Finish majority imagine stock night.,EXP00514,klong,mary16
CLM000981,2023-12-20 17:24:30,Unassigned,More say rather blood she.,EXP00611,shawna28,foliver
CLM000820,2024-08-03 02:19:20,Unassigned,Wife national left most.,EXP00266,gentrydavid,kathryn59
CLM000378,2022-09-27 10:07:42,Unassigned,Them phone man list turn who.,EXP00677,wellsrebecca,nicole85
CLM000948,2024-10-29 10:56:30,Unassigned,Need establish attention wish suddenly difficult certain.,EXP00754,lindahorton,lauren46
CLM000097,2022-06-27 04:15:16,Unassigned,Visit according participant everything.,EXP00552,whitakerrichard,ronaldscott
CLM000623,2023-01-27 17:55:39,Assigned,Trial evening wall image sense have whether nature.,EXP00566,wchoi,tomrogers
CLM000626,2023-01-10 07:01:34,Assigned,Full indicate easy herself five whose dream.,EXP00158,wilcoxkyle,roger27
CLM000964,2024-01-16 05:59:10,Assigned,College likely fire our radio drug.,EXP00507,sgonzalez,gbrooks
CLM000805,2024-05-20 09:04:00,Unassigned,Report party after task sure food employee.,EXP00038,michael72,cookricardo
CLM000624,2022-06-14 18:56:46,Unassigned,Information box begin involve very word.,EXP00236,maryhall,freemanmelissa
CLM000257,2024-06-09 12:43:10,Unassigned,Every or year.,EXP00356,jenniferharris,johnsonangela
CLM000356,2023-11-07 15:17:36,Unassigned,Little song century culture.,EXP00289,adam27,saraolson
CLM000020,2022-01-17 15:13:09,Assigned,Difference time outside skill.,EXP00460,kreynolds,hernandezchristine
CLM000703,2022-08-21 20:46:45,Assigned,Car information well the expect from find.,EXP00144,eking,wrightmichael
CLM000560,2022-05-01 14:35:28,Unassigned,Size turn usually certain his.,EXP00181,pamelacole,michael61
CLM000452,2024-08-16 23:12:08,Unassigned,Capital manager probably.,EXP00184,pmurray,myerschristopher
CLM000523,2023-02-17 21:31:32,Assigned,Finish what go cut professor leave.,EXP00777,smithbarry,amanda74
CLM000485,2024-12-08 11:11:08,Assigned,News politics suggest general physical.,EXP00340,scottarroyo,james56
CLM000686,2024-07-13 05:13:57,Assigned,Her story listen thought note probably while.,EXP00622,bianca98,paulcarolyn
CLM000372,2023-03-21 15:36:53,Assigned,Step reality send hope.,EXP00430,denise70,anthonyfuentes
CLM000089,2024-04-23 21:28:26,Unassigned,Huge team reveal manage near everybody Republican.,EXP00040,maybrian,kcrawford
CLM000208,2023-11-19 17:36:53,Unassigned,College religious parent policy enjoy.,EXP00600,jstevens,angelsimpson
CLM000585,2023-02-26 12:33:09,Unassigned,Business character question mind.,EXP00044,kleintimothy,amanda25
CLM000501,2023-03-22 12:12:34,Unassigned,Since north son economy prepare.,EXP00216,psmith,erin53
CLM000004,2023-05-02 17:00:42,Assigned,Edge situation family continue admit exactly.,EXP00608,ylong,briananderson
CLM000429,2022-06-17 19:01:20,Assigned,Current happen student have discover whom sign.,EXP00683,christopher67,pclark
CLM000416,2024-11-07 08:52:08,Unassigned,Loss idea technology.,EXP00622,parkjohn,cynthia54
CLM000108,2022-04-24 01:25:17,Assigned,Late sit arm although.,EXP00045,campbelldaniel,amber26
CLM000202,2022-12-25 23:05:04,Assigned,Test however ever music fight.,EXP00122,jamesmiller,thomasmarc
CLM000870,2024-04-09 04:44:14,Unassigned,To central physical man increase former list.,EXP00509,framirez,brittany69
CLM000376,2024-10-26 04:00:05,Assigned,Local security forget skill loss experience.,EXP00600,swansonrobin,josephmatthew
CLM000451,2023-10-29 13:05:10,Assigned,Never myself artist language she.,EXP00392,joshuastewart,murphyvanessa
CLM000322,2023-08-12 01:36:23,Assigned,Chair total method wish data increase.,EXP00103,bscott,qsmith
CLM000470,2023-09-24 20:01:06,Assigned,Difficult four car get.,EXP00061,kathleen71,julia10
CLM000157,2024-07-05 06:38:57,Unassigned,Wife join administration question realize cover.,EXP00729,gillkelli,dawncervantes
CLM000923,2024-02-12 06:27:50,Assigned,Six continue consider.,EXP00489,lori53,tanya85
CLM000278,2022-07-07 17:26:58,Assigned,Alone eat best miss weight us.,EXP00732,jonespaul,christine10
CLM000111,2024-04-04 04:06:19,Assigned,Space past professor mention record key friend.,EXP00086,audreyjohnson,hlang
CLM000080,2023-08-27 10:50:30,Unassigned,Possible whole system less tax.,EXP00520,fmalone,alicia16
CLM000455,2023-11-29 14:13:45,Assigned,Pressure song open us minute perhaps audience society.,EXP00361,johnsonamanda,pcrawford
CLM000676,2023-10-11 09:48:15,Unassigned,Board arrive meeting skill civil ball medical.,EXP00527,john01,trevorbruce
CLM000202,2022-11-02 21:00:56,Unassigned,My reveal wish.,EXP00440,loganthomas,hesterashley
CLM000687,2024-12-04 04:11:15,Assigned,Change near court respond trial.,EXP00710,zcurtis,michael95
CLM000790,2023-07-02 07:50:31,Assigned,Big might find education result.,EXP00272,galvanmanuel,fcarter
CLM000441,2022-07-06 23:53:26,Unassigned,Six your everyone.,EXP00070,broth,kimberly07
CLM000701,2024-07-22 18:13:04,Unassigned,Later according lose political.,EXP00396,xmoore,kevin47
CLM000677,2023-09-19 19:11:54,Assigned,Blue single hot late song develop ask.,EXP00594,garciascott,donovankristina
CLM000839,2022-04-02 09:49:21,Assigned,Nor pay lay maintain page doctor senior.,EXP00753,bakerstephanie,brookemartinez
CLM000930,2022-08-23 23:50:36,Assigned,Stock film able decision scientist well.,EXP00147,barnesdawn,hernandezholly
CLM000876,2024-04-03 14:19:31,Unassigned,Environment consumer write billion large face view.,EXP00284,rheath,matthewjohnson
CLM000861,2022-01-11 17:23:33,Assigned,Answer bag long either cut.,EXP00032,danielmiller,qhiggins
CLM000519,2022-07-01 22:48:38,Unassigned,Simple respond share together.,EXP00022,thomas90,eweber
CLM000903,2024-07-04 11:08:06,Unassigned,Join month land seat share perform look.,EXP00064,olivermark,angela58
CLM000648,2023-09-24 02:06:18,Unassigned,Although send size rest.,EXP00522,carolyn72,rogersjessica
CLM000858,2022-07-23 17:58:51,Unassigned,Happen dog pretty material.,EXP00012,robert81,joshua83
CLM000550,2023-04-26 23:16:49,Unassigned,Time time black ahead whole.,EXP00061,janetweber,jamiehumphrey
CLM000126,2024-04-04 02:29:40,Assigned,Road yes teacher fish exactly.,EXP00240,kimberlywilliams,smithshelia
CLM000187,2023-11-22 20:12:39,Assigned,Difficult tell guess.,EXP00760,amandafoster,terrymichelle
CLM000048,2023-11-17 15:48:12,Unassigned,Business believe among share image where one.,EXP00161,robertofisher,oshelton
CLM000871,2023-11-08 12:15:44,Assigned,Story you new action reveal factor research.,EXP00240,perezanthony,daniel78
CLM000214,2024-04-21 07:09:10,Unassigned,Easy grow author wish blood child organization forward.,EXP00661,iweber,clarkelizabeth
CLM000238,2022-09-27 15:04:40,Unassigned,Candidate movement upon control imagine least anything.,EXP00614,lisa89,lydiaedwards
CLM000339,2022-09-03 16:35:32,Unassigned,Identify Mr over commercial.,EXP00383,stephen97,sean80
CLM000261,2024-02-04 13:51:11,Assigned,Go another foreign between.,EXP00339,jennifer60,jacobcarter
CLM000525,2022-09-05 04:32:04,Assigned,Attorney woman writer road.,EXP00060,maldonadokatherine,joe16
CLM000925,2022-03-11 19:59:18,Unassigned,Teach chair them at.,EXP00414,susanallen,xhicks
CLM000701,2024-02-19 05:52:20,Assigned,Stage health watch special section your local.,EXP00629,michael39,galvanconnor
CLM000507,2022-01-14 01:48:23,Assigned,Happy lot wife gas.,EXP00206,mossheidi,rtran
CLM000907,2023-03-09 14:11:30,Assigned,Parent respond bank matter collection.,EXP00080,burtonbonnie,lsantos
CLM000476,2024-12-27 19:22:14,Unassigned,Cold continue rise teacher what institution month.,EXP00279,timothy37,mooresusan
CLM000139,2023-05-21 10:43:07,Unassigned,Into financial include true inside phone.,EXP00065,brobinson,whitneysanchez
CLM000111,2023-11-22 05:24:18,Unassigned,Rule amount fund answer continue point.,EXP00742,bfitzpatrick,andrew22
CLM000996,2024-08-14 21:00:45,Unassigned,Poor also attack lead consumer plan might.,EXP00207,martinezmartin,cathy10
CLM000220,2024-03-14 10:01:31,Assigned,Little cover especially both last.,EXP00577,malonesheila,tmanning
CLM000966,2023-10-15 15:13:25,Unassigned,Point million ten win reason out agree.,EXP00327,johnwarner,dlong
CLM000493,2024-12-03 04:21:14,Assigned,Detail throw dream behavior near.,EXP00570,robertmontgomery,gregory73
CLM000271,2024-02-12 03:32:35,Unassigned,Claim stop best agency position way guess political.,EXP00524,haley98,stevengoodwin
CLM000468,2022-09-29 06:16:37,Assigned,Grow example drive series decide huge.,EXP00424,johnharvey,cynthia34
CLM000546,2023-12-13 10:07:20,Unassigned,Fly car debate sing.,EXP00402,xwells,lori94
CLM000272,2024-10-16 19:44:19,Unassigned,Medical of current popular letter.,EXP00396,izimmerman,bennettelizabeth
CLM000021,2022-12-19 06:07:52,Assigned,Camera man list near hear plan.,EXP00546,cindysuarez,tyler11
CLM000198,2023-09-07 18:20:10,Assigned,Work spring our couple build.,EXP00313,matthewbenitez,brownmichelle
CLM000924,2023-06-13 16:08:42,Unassigned,Film organization address painting.,EXP00383,johnsonjohn,msmith
CLM000127,2023-12-05 16:00:13,Unassigned,High federal me instead alone.,EXP00394,bguerrero,kellykathryn
CLM000182,2022-12-17 17:29:46,Unassigned,Receive more chair sing discover force.,EXP00536,jennifer68,adamgould
CLM000618,2022-06-19 06:00:54,Unassigned,Fast activity vote live task around themselves improve.,EXP00122,sheilaavila,keith78
CLM000408,2023-11-26 05:33:09,Assigned,Alone shoulder bag road than high military.,EXP00346,samanthabrandt,frankaguilar
CLM000165,2024-11-21 03:12:17,Unassigned,Member sister view identify.,EXP00644,sherry43,michael06
CLM000261,2024-12-29 04:43:01,Assigned,End this data age avoid.,EXP00068,marymorrison,theresa75
CLM000120,2024-12-26 13:03:14,Assigned,Particular risk modern however federal magazine.,EXP00723,hilldavid,justin58
CLM000942,2022-03-15 07:10:39,Assigned,Main difference father nation.,EXP00157,darrell51,bgonzalez
CLM000915,2024-03-10 05:07:11,Unassigned,Receive social into health professional think room.,EXP00296,uestes,lindsaymendoza
CLM000418,2022-11-18 00:50:09,Assigned,Determine machine expert oil finally half peace.,EXP00731,rodriguezmonique,cherylholden
CLM000322,2023-03-29 12:48:26,Unassigned,Now reflect ok term catch loss.,EXP00586,elizabethmiller,tpetersen
CLM000530,2024-01-29 19:01:48,Assigned,Whatever police why image.,EXP00759,melvinsolis,vickiemartin
CLM000011,2023-02-16 06:39:56,Assigned,Yeah ok shoulder beyond you.,EXP00036,warrensarah,uflores
CLM000982,2024-01-21 03:34:46,Assigned,Employee finally even.,EXP00521,jwilson,cdiaz
CLM000751,2024-09-01 10:03:34,Unassigned,Contain lawyer else recognize case him song best.,EXP00079,lisamckenzie,xwright
CLM000440,2022-12-23 18:15:20,Assigned,Too during new middle speech.,EXP00258,gary86,banderson
CLM000086,2023-03-08 18:14:58,Unassigned,Show some effect admit.,EXP00515,chambersbrendan,garynelson
CLM000285,2024-06-09 08:12:03,Unassigned,Above investment serve black worry.,EXP00452,jessica13,williamhanson
CLM000776,2024-08-25 10:41:59,Unassigned,Stock eight artist.,EXP00141,alyssa71,lstein
CLM000126,2022-11-27 14:30:24,Unassigned,Article chance part south trade tonight require.,EXP00657,ariel55,bgilbert
CLM000879,2022-09-20 16:26:37,Assigned,Beat camera discover short American.,EXP00144,iward,dalton26
CLM000062,2023-02-05 18:30:50,Unassigned,Business speech scene law politics.,EXP00589,elizabeth30,holly45
CLM000267,2022-01-30 16:25:33,Assigned,Whether sit well three point ok think rise.,EXP00054,dalewilliams,ddavidson
CLM000059,2023-08-07 22:12:27,Assigned,Moment role find population she simply.,EXP00384,wisemargaret,david81
CLM000091,2024-09-26 14:36:05,Unassigned,Foreign environmental community radio wind.,EXP00784,michael04,lhopkins
CLM000661,2023-06-28 18:23:41,Unassigned,Lead ever measure southern.,EXP00237,michael67,nicholebaker
CLM000016,2022-03-12 19:46:12,Unassigned,Over meet stock.,EXP00397,ruthortiz,stephanieellis
CLM000840,2022-05-10 11:04:07,Unassigned,Wide hard pressure and.,EXP00319,nkennedy,youngraymond
CLM000327,2023-01-07 08:06:09,Unassigned,Situation half interest market appear city.,EXP00254,michele66,markallen
CLM000218,2022-09-23 13:05:15,Assigned,Rich still ready give.,EXP00241,jennifermaldonado,uallen
CLM000148,2024-04-21 10:19:06,Assigned,Agency worry me get wait myself.,EXP00664,samantha40,jdowns
CLM000642,2024-01-03 00:43:16,Assigned,Group discuss special cut theory.,EXP00691,destiny70,williamsmichael
CLM000796,2024-02-20 06:15:46,Unassigned,Husband court may responsibility.,EXP00167,jasoncherry,karen58
CLM000806,2024-05-12 02:22:32,Assigned,Bag someone sport woman.,EXP00460,joshua70,jessicashaw
CLM000222,2022-03-09 23:42:02,Unassigned,Really in short explain may.,EXP00231,jessicabuckley,james39
CLM000990,2023-07-05 18:13:02,Unassigned,Machine century condition cultural should image affect.,EXP00693,holtdebra,myoung
CLM000050,2023-12-10 18:29:53,Assigned,At Congress western million.,EXP00438,molinagarrett,wilsonjulie
CLM000424,2023-08-26 05:16:51,Assigned,Note policy couple give Democrat choose month.,EXP00504,nmosley,anthony41
CLM000109,2024-09-19 21:09:42,Unassigned,Ok fill use prove control against high north.,EXP00652,pmontoya,maryjones
CLM000905,2024-04-01 14:13:30,Assigned,Talk positive subject able meet.,EXP00331,alexandra08,kmason
CLM000690,2022-05-15 08:23:05,Unassigned,Project once develop series.,EXP00031,anthonyroberts,kevin09
CLM000583,2024-01-09 20:24:42,Unassigned,Media because report focus deal home peace.,EXP00779,stacysherman,amandaarellano
CLM000143,2022-11-01 01:44:36,Unassigned,Nature music produce anyone structure name myself.,EXP00194,david69,qgreene
CLM000524,2024-02-13 06:09:09,Assigned,Bar especially protect always company court determine.,EXP00642,robertmiller,gary03
CLM000766,2023-08-25 04:12:05,Unassigned,Change event thus everybody heart lay establish model.,EXP00578,tina25,warrencarolyn
CLM000821,2022-02-19 11:24:27,Assigned,Bad energy pretty.,EXP00594,ehansen,campbelldavid
CLM000347,2024-08-13 10:15:22,Assigned,National send career weight the deal rule until.,EXP00033,jimenezamy,uwelch
CLM000994,2024-06-26 19:46:41,Unassigned,Pattern these church speech push far.,EXP00390,colleenwilliams,mroberts
CLM000956,2022-08-19 22:13:56,Unassigned,Forget similar no guess suffer option.,EXP00702,bakertyler,nathan38
CLM000346,2022-12-31 06:42:10,Unassigned,Explain party inside example.,EXP00509,michelleprince,grant26
CLM000327,2023-08-19 03:56:47,Assigned,Image prepare computer political as.,EXP00201,rjackson,schultzjessica
CLM000472,2022-09-19 05:52:54,Unassigned,Mind agency family trial wish.,EXP00070,jasonnichols,dmcdonald
CLM000133,2022-06-05 06:03:26,Assigned,Most already away heart carry degree traditional.,EXP00375,nbonilla,santiagothomas
CLM000979,2023-07-04 16:20:41,Unassigned,Group family whose task.,EXP00413,clinewhitney,pgibson
CLM000341,2024-03-21 00:31:33,Assigned,Republican true different popular or just.,EXP00252,anthony13,tpacheco
CLM000776,2024-08-14 06:16:53,Unassigned,Any image rise newspaper standard.,EXP00677,gordoncandice,larry42
CLM000697,2024-04-01 12:58:27,Assigned,Evening talk full series involve doctor.,EXP00386,thomasanna,marie84
CLM000344,2024-10-11 14:33:24,Unassigned,Room American picture bad.,EXP00559,ymcintosh,karen33
CLM000676,2024-12-13 23:11:16,Assigned,Cover happy machine book mission.,EXP00755,benjaminperry,oruiz
CLM000967,2023-07-31 13:25:29,Assigned,Manage image him growth.,EXP00417,prodriguez,rebecca26
CLM000693,2024-10-19 09:30:31,Assigned,Defense success half home tree.,EXP00656,charlesmorris,kayla33
CLM000445,2023-08-24 08:30:22,Assigned,Firm nearly large move door Mr for middle.,EXP00301,spencesamantha,francothomas
CLM000772,2024-03-20 04:33:57,Assigned,Seven seek high base by authority new.,EXP00248,huntercurtis,smithkelli
CLM000177,2023-04-13 12:46:56,Unassigned,Defense well choice painting.,EXP00639,kristin58,matthew67
CLM000443,2022-09-24 02:18:17,Assigned,Tv ask company garden agree cell something manage.,EXP00538,wkim,michellewade
CLM000723,2022-12-29 03:25:06,Assigned,Material each response child area.,EXP00612,brian82,luke96
CLM000631,2024-07-20 23:07:34,Unassigned,Never attention window training job.,EXP00289,patrickjimenez,bernardian
CLM000457,2023-12-09 08:06:09,Unassigned,Customer gas cause hand.,EXP00023,joansanchez,davidsonlori
CLM000975,2023-11-15 18:13:23,Unassigned,Call wait machine image lose garden.,EXP00777,christian37,daisymoore
CLM000815,2024-04-11 07:58:38,Assigned,Class character watch class science media body.,EXP00185,christopher32,sotojoshua
CLM000120,2023-01-08 19:05:58,Unassigned,Include example paper edge black.,EXP00221,gregory98,susangraves
CLM000680,2022-07-11 22:00:15,Assigned,Others collection because sound right.,EXP00440,stephaniesmith,jennifer88
CLM000599,2022-09-01 18:19:26,Assigned,Central such community rise produce night always.,EXP00342,aowens,kpeters
CLM000110,2022-05-08 05:38:40,Assigned,Type wear large environmental.,EXP00375,vicki49,dalewilson
