ClaimNumber,ID,Vin,Make,Model,Year
CLM000745,VEH00111,SA5847819jT4158022,Chevrolet,Malibu,2002
CLM000686,VEH00112,ry0302637EN9824412,Ford,Camry,2012
CLM000900,VEH00113,ZG7101033XO2582546,Ford,Camry,2008
CLM000468,VEH00114,WB9128014zi9397932,Chevrolet,Civic,2009
CLM000917,VEH00115,UX2193160ue3921211,Ford,Malibu,2019
CLM000991,VEH00116,Od5470651yy1657262,Toyota,Focus,2018
CLM000981,VEH00117,AA1073080Pn5440504,Ford,Civic,2012
CLM000779,VEH00118,GL4216696BU1019486,Honda,Camry,2008
CLM000826,VEH00119,EY8445716hG9722192,Ford,Malibu,2017
CLM000495,VEH00120,mw4565945Xa1798704,Honda,Focus,2009
CLM000789,VEH00121,ok9139571Ub0970802,Toyota,Focus,2019
CLM000880,VEH00122,Dx5176081Ap5553401,Honda,Focus,2002
CLM000734,VEH00123,Qz6902551Cj9753393,Ford,Civic,2001
CLM000443,VEH00124,Fy9987465WX1154278,Ford,Malibu,2011
CLM000618,VEH00125,hz8662932Ix0592865,Honda,Camry,2019
CLM000493,VEH00126,jg6121565pQ8853094,Honda,Focus,2007
CLM000499,VEH00127,Nv0811682iN1153343,Chevrolet,Camry,2012
CLM000492,VEH00128,FZ5446773xi4862595,Toyota,Malibu,2000
CLM000377,VEH00129,Fa6858449gl5184810,Toyota,Camry,2009
CLM000910,VEH00130,hP4430595Fb8498297,Chevrolet,Malibu,2020
CLM000110,VEH00131,oD6378533Sk9546751,Ford,Civic,2016
CLM000081,VEH00132,HI3869526Ii7014089,Ford,Malibu,2001
CLM000548,VEH00133,Du9345018Hb0448836,Chevrolet,Civic,2009
CLM000337,VEH00134,rH2129479Rq0390995,Chevrolet,Civic,2013
CLM000212,VEH00135,ls1694670zx2558643,Chevrolet,Focus,2003
CLM000140,VEH00136,Ab5311129mq7700885,Ford,Civic,2010
CLM000175,VEH00137,Vs9498337Jr9847470,Chevrolet,Civic,2001
CLM000405,VEH00138,Pu9425886wv6441530,Honda,Focus,2023
CLM000393,VEH00139,Sj5591103Tc3377490,Chevrolet,Focus,2017
CLM000346,VEH00140,IY3610788Fc2833067,Toyota,Civic,2012
CLM000683,VEH00141,lJ0433497ZM5556249,Honda,Focus,2018
CLM000032,VEH00142,DW0929858Fq7528426,Honda,Civic,2005
CLM000265,VEH00143,xn9920269Qi2039603,Ford,Civic,2021
CLM000656,VEH00144,dv6270194RO9160998,Ford,Focus,2014
CLM000319,VEH00145,Zf7589961SA9564345,Toyota,Malibu,2009
CLM000833,VEH00146,MF4893178Gp1585346,Chevrolet,Civic,2014
CLM000643,VEH00147,dR1358796ra2131240,Toyota,Focus,2009
CLM000330,VEH00148,yt5856754kj2817448,Honda,Camry,2020
CLM000581,VEH00149,PZ6884364aA7563280,Honda,Focus,2021
CLM000052,VEH00150,TC4253565UI9441799,Toyota,Camry,2019
CLM000551,VEH00151,JA8060422bP1101737,Toyota,Camry,2006
CLM000107,VEH00152,jt5524806tT2504723,Chevrolet,Focus,2008
CLM000987,VEH00153,QY4412199kZ6186966,Ford,Malibu,2013
CLM000091,VEH00154,Tb2663590tJ4712782,Toyota,Camry,2022
CLM000144,VEH00155,Qb5120726BR5687083,Ford,Malibu,2016
CLM000362,VEH00156,zA7345394NO4173419,Ford,Malibu,2023
CLM000586,VEH00157,Ey2057046uF0268715,Chevrolet,Civic,2009
CLM000563,VEH00158,jz5032908Lx4765599,Honda,Camry,2016
CLM000569,VEH00159,PI6677704Yc9099970,Chevrolet,Focus,2021
CLM000003,VEH00160,jQ8863576oe8199201,Chevrolet,Malibu,2011
CLM000538,VEH00161,rB7995809OV4932450,Ford,Camry,2012
CLM000402,VEH00162,GB2382447cl1525925,Toyota,Civic,2014
CLM000697,VEH00163,Ox3572605pQ8071658,Chevrolet,Civic,2011
CLM000559,VEH00164,JD2708597Vd0724146,Chevrolet,Focus,2001
CLM000250,VEH00165,Ud1029072vR6716609,Chevrolet,Malibu,2014
CLM000698,VEH00166,BY9522822HD5650102,Chevrolet,Malibu,2017
CLM000252,VEH00167,ST9623508aj9922856,Toyota,Malibu,2016
CLM000705,VEH00168,OV9677034AN9386051,Chevrolet,Camry,2000
CLM000885,VEH00169,ar3231060eI7397077,Chevrolet,Civic,2015
CLM000985,VEH00170,Kd3640905wa2364758,Honda,Focus,2015
CLM000720,VEH00171,SA2453563kF4523870,Toyota,Focus,2022
CLM000347,VEH00172,Ti3785524JI1801061,Chevrolet,Malibu,2015
CLM000034,VEH00173,of4545202ml4875337,Ford,Camry,2011
CLM000399,VEH00174,it1891372TC1404389,Honda,Malibu,2022
CLM000591,VEH00175,Fy9323374Vr5038288,Ford,Civic,2014
CLM000641,VEH00176,TY3680117PW0582562,Ford,Focus,2007
CLM000418,VEH00177,ys9760658hg7658439,Chevrolet,Focus,2015
CLM000953,VEH00178,Fc8853054cX5744293,Toyota,Focus,2011
CLM000501,VEH00179,cW9319651Kp0615997,Chevrolet,Civic,2007
CLM000589,VEH00180,QT4143472Bu3377482,Toyota,Camry,2009
CLM000762,VEH00181,do1022836fA6111579,Chevrolet,Malibu,2003
CLM000966,VEH00182,bo5351164Bp4924742,Ford,Malibu,2021
CLM000700,VEH00183,xV6960141Rm7386788,Toyota,Camry,2015
CLM000740,VEH00184,Hx1159008mX3860767,Ford,Focus,2005
CLM000416,VEH00185,bO2826680oz6226290,Toyota,Camry,2004
CLM000849,VEH00186,hT1335621ZZ0135119,Ford,Civic,2014
CLM000032,VEH00187,up0639098ZG0887605,Ford,Malibu,2006
CLM000256,VEH00188,OV3859274fB6814043,Ford,Camry,2022
CLM000769,VEH00189,wW5769344vr5555961,Chevrolet,Malibu,2017
CLM000879,VEH00190,nI0845527vh6525009,Ford,Camry,2007
CLM000910,VEH00191,Rs2614410hb1641430,Toyota,Focus,2018
CLM000850,VEH00192,Nq6107182tJ8253187,Toyota,Focus,2007
CLM000013,VEH00193,LQ7642594by1291035,Honda,Focus,2011
CLM000249,VEH00194,rW4551885KL6741980,Honda,Camry,2002
CLM000717,VEH00195,iA3900515JU9263665,Toyota,Focus,2022
CLM000697,VEH00196,OM3281560ck4184412,Toyota,Malibu,2022
CLM000162,VEH00197,MH9109162TN9533252,Ford,Focus,2015
CLM000801,VEH00198,Kp3514357tj6190221,Ford,Focus,2008
CLM000532,VEH00199,PH0158296OD4240650,Chevrolet,Camry,2004
CLM000806,VEH00200,AS1573734fP6905911,Chevrolet,Focus,2012
CLM000820,VEH00201,QH7030174su1030649,Ford,Malibu,2013
CLM000420,VEH00202,qe1285321wU6138850,Ford,Malibu,2014
CLM000888,VEH00203,ld7018613uV0147718,Toyota,Civic,2000
CLM000001,VEH00204,Ut3804599bL2423472,Chevrolet,Camry,2014
CLM000940,VEH00205,vS8624611vs1159251,Ford,Malibu,2008
CLM000737,VEH00206,JL0585491eZ1240373,Honda,Camry,2013
CLM000229,VEH00207,gi7191775bX7040815,Ford,Focus,2015
CLM000358,VEH00208,wP0177026lt6079083,Honda,Malibu,2010
CLM000842,VEH00209,TA2097170DF2412682,Ford,Civic,2013
CLM000840,VEH00210,mP9960831QG4213624,Honda,Focus,2007
CLM000656,VEH00211,mA6768565KM4051500,Chevrolet,Civic,2019
CLM000617,VEH00212,UH0222143qH1377184,Honda,Camry,2001
CLM000081,VEH00213,Zt4657837DY6184829,Toyota,Camry,2001
CLM000260,VEH00214,JG6278891Sk9371315,Chevrolet,Camry,2017
CLM000923,VEH00215,RQ4252856di9466746,Honda,Camry,2006
CLM000217,VEH00216,et4984778Mu4915300,Chevrolet,Malibu,2008
CLM000550,VEH00217,ni9710723ix5893648,Chevrolet,Focus,2023
CLM000431,VEH00218,Nq6316177Fb2738377,Honda,Camry,2015
CLM000054,VEH00219,qJ2854029hA1975034,Toyota,Malibu,2020
CLM000829,VEH00220,ln2147417VG6851809,Ford,Camry,2000
CLM000201,VEH00221,Wv9117195JT5695150,Ford,Focus,2018
CLM000241,VEH00222,kr2702983Ya6153636,Honda,Civic,2006
CLM000455,VEH00223,zT0541927MD5553092,Ford,Focus,2014
CLM000703,VEH00224,qd5785660lL4917196,Toyota,Malibu,2000
CLM000216,VEH00225,Dw4674805cl2420623,Ford,Malibu,2017
CLM000371,VEH00226,VA7739031ce4844792,Honda,Focus,2019
CLM000576,VEH00227,Hz7767518xJ3967239,Chevrolet,Focus,2006
CLM000583,VEH00228,Lj8622452tF1911807,Chevrolet,Civic,2002
CLM000882,VEH00229,gu9290099XO9466386,Toyota,Civic,2004
CLM000334,VEH00230,xz3928520Dk4938229,Ford,Focus,2003
CLM000414,VEH00231,yv5162132Rg1389687,Honda,Focus,2023
CLM000514,VEH00232,oE0458419ch3274659,Chevrolet,Malibu,2013
CLM000296,VEH00233,xy6215796Bu6695379,Ford,Malibu,2003
CLM000226,VEH00234,hL8720479dx4035697,Honda,Malibu,2016
CLM000862,VEH00235,CN2718411cM2047416,Chevrolet,Camry,2020
CLM000030,VEH00236,rz0090911uQ5504721,Toyota,Focus,2006
CLM000406,VEH00237,EB0544922ZQ4106925,Honda,Malibu,2019
CLM000183,VEH00238,MK5800191kY6842163,Chevrolet,Focus,2005
CLM000069,VEH00239,iA1231968XD7697681,Ford,Civic,2020
CLM000149,VEH00240,Qv7372592fb5440236,Honda,Malibu,2015
CLM000615,VEH00241,FM2892777wK3340088,Honda,Civic,2016
CLM000425,VEH00242,Wf2978352cF7109293,Chevrolet,Camry,2000
CLM000662,VEH00243,Mj6901121lx4639463,Honda,Camry,2011
CLM000676,VEH00244,Nw6521405Cz5209513,Chevrolet,Malibu,2012
CLM000011,VEH00245,Og5876512jL8692635,Toyota,Camry,2002
CLM000026,VEH00246,Lb9870788fE9410029,Toyota,Malibu,2011
CLM000235,VEH00247,dV1055856Yb7991459,Ford,Civic,2008
CLM000942,VEH00248,Ze5162233vX4599479,Honda,Malibu,2018
CLM000515,VEH00249,AT7292962hf0976723,Ford,Focus,2011
CLM000909,VEH00250,BH2543199tS3498583,Toyota,Camry,2017
CLM000895,VEH00251,hx4596796vZ8895703,Chevrolet,Focus,2000
CLM000717,VEH00252,As0641715Bn7461331,Ford,Focus,2011
CLM000708,VEH00253,Lv6597634EY8107605,Ford,Malibu,2017
CLM000701,VEH00254,EC0243722uW2513599,Ford,Civic,2015
CLM000179,VEH00255,Dt6537473Nt6696766,Toyota,Camry,2014
CLM000529,VEH00256,Yq9064003nB7172309,Ford,Camry,2010
CLM000341,VEH00257,KF1392824Xl5062366,Chevrolet,Camry,2012
CLM000815,VEH00258,sC1630506io8555768,Chevrolet,Malibu,2006
CLM000506,VEH00259,go3245480Ij0306313,Chevrolet,Malibu,2013
CLM000265,VEH00260,XR7713953BV6464066,Honda,Civic,2017
CLM000163,VEH00261,HB2223381fr7225332,Toyota,Civic,2005
CLM000899,VEH00262,uh3022609bg2254383,Honda,Camry,2023
CLM000020,VEH00263,uC1569751Yi1708990,Ford,Civic,2019
CLM000976,VEH00264,RF1745828sC1109084,Ford,Malibu,2022
CLM000971,VEH00265,MQ3351486Ix5277515,Honda,Camry,2006
CLM000085,VEH00266,mv0336336ZK2664731,Toyota,Focus,2008
CLM000648,VEH00267,yE1234751At4249244,Ford,Camry,2011
CLM000558,VEH00268,cv8566223lR9711710,Ford,Focus,2006
CLM000155,VEH00269,lo0585955mV5383288,Toyota,Civic,2003
CLM000585,VEH00270,oA4038980PQ2886860,Toyota,Camry,2015
CLM000914,VEH00271,NA5315978DE1015435,Toyota,Civic,2018
CLM000559,VEH00272,aJ4935720qR1389303,Ford,Focus,2014
CLM000057,VEH00273,ci6641383Hd7863480,Ford,Focus,2015
CLM000648,VEH00274,Yp9318351lL7243221,Honda,Malibu,2020
CLM000353,VEH00275,PE0014168gs6615671,Honda,Focus,2006
CLM000144,VEH00276,xt9936956HC1383435,Ford,Focus,2021
CLM000366,VEH00277,ra1450830fO5767197,Chevrolet,Camry,2013
CLM000633,VEH00278,fz2684366oy5676514,Chevrolet,Camry,2008
CLM000898,VEH00279,yT6577304va5942965,Chevrolet,Malibu,2022
CLM000304,VEH00280,bM9496687QG0391922,Chevrolet,Camry,2002
CLM000044,VEH00281,pd3670638hz8479137,Honda,Civic,2012
CLM000739,VEH00282,ZR9808884Wn9679642,Honda,Civic,2001
CLM000541,VEH00283,Ce7464469ka3775786,Ford,Civic,2020
CLM000545,VEH00284,hg1898199Fs8210838,Chevrolet,Civic,2023
CLM000575,VEH00285,nX2022664MX5263367,Ford,Camry,2000
CLM000759,VEH00286,sy2381334rz4953014,Honda,Malibu,2006
CLM000884,VEH00287,eX8605052pS7768189,Ford,Civic,2006
CLM000101,VEH00288,SB0397121BE7778661,Honda,Camry,2014
CLM000971,VEH00289,is3148260iW7126624,Toyota,Malibu,2011
CLM000942,VEH00290,ND9165896rl6366977,Ford,Malibu,2002
CLM000351,VEH00291,wt3780277Po6790128,Ford,Focus,2008
CLM000677,VEH00292,XH3222670Pt0377406,Chevrolet,Malibu,2018
CLM000284,VEH00293,KK9517735te8907993,Ford,Malibu,2017
CLM000021,VEH00294,CP7792690ZH3241258,Ford,Civic,2007
CLM000605,VEH00295,MI9900867Bg5186691,Honda,Camry,2007
CLM000139,VEH00296,bH8094655gQ6365936,Honda,Camry,2022
CLM000601,VEH00297,lb2770314PT5976123,Chevrolet,Camry,2008
CLM000759,VEH00298,uG5734126eh0565915,Toyota,Camry,2011
CLM000410,VEH00299,MW0318676DI1883743,Ford,Camry,2016
CLM000253,VEH00300,XR4147460cR3157641,Toyota,Civic,2010
CLM000110,VEH00301,nW3943525mp8778556,Honda,Focus,2006
CLM000533,VEH00302,Qb1788148Oi3489231,Chevrolet,Civic,2020
CLM000881,VEH00303,Zh3888032CH2361241,Chevrolet,Focus,2023
CLM000579,VEH00304,Rf1516818Jm1493815,Ford,Malibu,2001
CLM000383,VEH00305,UT0083985JB7018499,Ford,Civic,2013
CLM000739,VEH00306,Pb7907342Kl3342155,Chevrolet,Focus,2012
CLM000300,VEH00307,YQ5504841Rj9475975,Toyota,Focus,2012
CLM000961,VEH00308,st3573212Oc8338648,Toyota,Malibu,2004
CLM000998,VEH00309,af7657089mX4435342,Honda,Focus,2015
CLM000305,VEH00310,RV9365767cg5505027,Ford,Camry,2017
CLM000600,VEH00311,ZY0212028Ad3566258,Honda,Malibu,2019
CLM000020,VEH00312,lc2760654PA4151738,Chevrolet,Camry,2005
CLM000737,VEH00313,pK3188576HT8837481,Chevrolet,Malibu,2006
CLM000491,VEH00314,mn7472674oF4237643,Toyota,Camry,2021
CLM000827,VEH00315,jj2394398Vk4524627,Chevrolet,Camry,2011
CLM000304,VEH00316,wJ3731310ce1128053,Honda,Civic,2007
CLM000328,VEH00317,fR6074948Cb8482546,Toyota,Civic,2003
CLM000109,VEH00318,QF5965556VN4883492,Chevrolet,Focus,2012
CLM000912,VEH00319,FC9944700Gx0353020,Toyota,Camry,2012
CLM000452,VEH00320,qN9038424vk2699850,Toyota,Civic,2003
CLM000851,VEH00321,qA2314836Ai3526906,Chevrolet,Focus,2002
CLM000054,VEH00322,vA9567455IM2025647,Toyota,Focus,2015
CLM000307,VEH00323,gd0418437lv2481475,Ford,Focus,2010
CLM000165,VEH00324,Gs5790348Dv8831538,Toyota,Civic,2003
CLM000850,VEH00325,eC7735862dI3691834,Honda,Malibu,2010
CLM000561,VEH00326,mY8746943Ot7975183,Toyota,Camry,2017
CLM000693,VEH00327,pP4848203vb5957896,Honda,Malibu,2012
CLM000975,VEH00328,Va0562747sR2154998,Ford,Civic,2018
CLM000085,VEH00329,pC0709326nd8189488,Honda,Civic,2001
CLM000986,VEH00330,AK1136286cI6183612,Honda,Focus,2011
CLM000508,VEH00331,qe6484601yR9525474,Honda,Camry,2002
CLM000380,VEH00332,bW7311789RA6120572,Ford,Civic,2009
CLM000118,VEH00333,ey4535147HJ8203136,Honda,Camry,2013
CLM000424,VEH00334,Ol5106061wS2094947,Toyota,Camry,2023
CLM000526,VEH00335,ef6453021jW6010464,Toyota,Camry,2008
CLM000146,VEH00336,eh4298014dv3099831,Toyota,Camry,2010
CLM000966,VEH00337,sj2190666jp8099395,Honda,Malibu,2005
CLM000083,VEH00338,vH5210682Qw6894107,Honda,Malibu,2003
CLM000213,VEH00339,iY1296411zd3096563,Toyota,Malibu,2005
CLM000482,VEH00340,be9905203gc4639671,Ford,Camry,2019
CLM000509,VEH00341,cU3027876ns1781863,Chevrolet,Civic,2018
CLM000104,VEH00342,Vm2643403Kx0961023,Toyota,Focus,2010
CLM000465,VEH00343,St7544285bq6779657,Chevrolet,Camry,2008
CLM000489,VEH00344,jl7250490bR2750834,Toyota,Focus,2000
CLM000868,VEH00345,ry1933327Gk8769302,Toyota,Civic,2008
CLM000057,VEH00346,Dj1385362fY6490668,Toyota,Focus,2007
CLM000849,VEH00347,FE1357345XL0513717,Ford,Camry,2013
CLM000974,VEH00348,XZ9267480Kk2876268,Honda,Camry,2018
CLM000135,VEH00349,eI2255870AL8914800,Ford,Malibu,2022
CLM000784,VEH00350,hI6649677TY4908992,Honda,Civic,2001
CLM000639,VEH00351,rm8912533fu3431479,Chevrolet,Malibu,2008
CLM000901,VEH00352,vv0612222ca2021803,Toyota,Focus,2020
CLM000331,VEH00353,uF1318555mC2964884,Toyota,Camry,2007
CLM000176,VEH00354,Yn4771787Gh7637993,Chevrolet,Camry,2021
CLM000472,VEH00355,rj8094979Es2234984,Toyota,Malibu,2023
CLM000573,VEH00356,lF1873549rv5292898,Honda,Focus,2002
CLM000773,VEH00357,BW2389986MT7079761,Toyota,Malibu,2014
CLM000287,VEH00358,tv2964209nX8601214,Toyota,Civic,2021
CLM000135,VEH00359,pi1534263bF5130340,Chevrolet,Camry,2012
CLM000578,VEH00360,KH4578728rr6606171,Toyota,Camry,2018
CLM000329,VEH00361,gX8462202Zi0934728,Chevrolet,Malibu,2005
CLM000136,VEH00362,qS8304252EQ8459109,Chevrolet,Malibu,2000
CLM000007,VEH00363,QZ4043292oc5465703,Chevrolet,Camry,2000
CLM000993,VEH00364,ys8428832ZM5614720,Ford,Malibu,2010
CLM000185,VEH00365,bh6648863FL3216699,Honda,Malibu,2016
CLM000194,VEH00366,Zp7710597Oo3505255,Honda,Focus,2016
CLM000591,VEH00367,qW4512725OT0759458,Chevrolet,Camry,2015
CLM000068,VEH00368,uB1206742LS8320820,Chevrolet,Malibu,2017
CLM000278,VEH00369,VC6732239Ok4039741,Ford,Malibu,2015
CLM000810,VEH00370,le1953013qI0380963,Ford,Focus,2004
CLM000598,VEH00371,RW1538549XB4396816,Honda,Camry,2012
CLM000079,VEH00372,ZW7513082zg8282730,Honda,Civic,2015
CLM000913,VEH00373,Yh5175115xj7680926,Chevrolet,Camry,2011
CLM000684,VEH00374,SZ4647411VY9478678,Chevrolet,Malibu,2004
CLM000979,VEH00375,bV9700259Ps1685809,Ford,Camry,2018
CLM000697,VEH00376,Qb2804600mz5209615,Toyota,Focus,2023
CLM000166,VEH00377,As4315773vP8934840,Honda,Civic,2002
CLM000530,VEH00378,Zn8605278uK6648275,Toyota,Civic,2009
CLM000531,VEH00379,GZ4692928VB3352496,Ford,Focus,2022
CLM000876,VEH00380,sT8768444IW3476408,Chevrolet,Malibu,2014
CLM000785,VEH00381,Tx6199363Jd2745627,Ford,Camry,2015
CLM000067,VEH00382,eL4034244rH7878390,Ford,Camry,2012
CLM000632,VEH00383,fW6595087Ri3232125,Chevrolet,Camry,2017
CLM000790,VEH00384,QD7164763EM5090485,Toyota,Focus,2009
CLM000221,VEH00385,YG2022189iA0394547,Toyota,Camry,2010
CLM000320,VEH00386,zW0710675ev3538542,Honda,Focus,2001
CLM000101,VEH00387,Wh6517519CV5166294,Honda,Civic,2010
CLM000494,VEH00388,lv5009707QP7004625,Ford,Malibu,2014
CLM000584,VEH00389,pV4213562Zs1628463,Toyota,Civic,2000
