ClaimNumber,PaymentType,CostType,CostCategory,GrossAmount,PaymentJustifiedInNotes
CLM000034,Check,Property Damage,Expense,383.87,NO
CLM000420,Credit Card,Medical,Indemnity,20596.83,YES
CLM000300,Direct Deposit,Property Damage,Expense,15528.04,NO
CLM000301,Check,Medical,Expense,11965.9,NO
CLM000110,Direct Deposit,Medical,Indemnity,12760.8,NO
CLM000821,Credit Card,Property Damage,Indemnity,35217.98,YES
CLM000759,Direct Deposit,Medical,Expense,23101.59,YES
CLM000257,Direct Deposit,Property Damage,Indemnity,16927.93,YES
CLM000636,Direct Deposit,Medical,Indemnity,13540.68,YES
CLM000704,Credit Card,Property Damage,Expense,3176.37,YES
CLM000169,Check,Vehicle Repair,Indemnity,8308.6,NO
CLM000245,Credit Card,Vehicle Repair,Indemnity,32094.48,YES
CLM000516,Check,Property Damage,Indemnity,41932.06,YES
CLM000859,Credit Card,Property Damage,Expense,2755.05,YES
CLM000650,Check,Medical,Indemnity,43150.01,NO
CLM000444,Direct Deposit,Medical,Expense,39850.13,NO
CLM000793,Direct Deposit,Vehicle Repair,Indemnity,12172.52,YES
CLM000312,Credit Card,Vehicle Repair,Indemnity,6110.38,NO
CLM000525,Credit Card,Vehicle Repair,Expense,28136.98,NO
CLM000154,Credit Card,Vehicle Repair,Indemnity,24632.27,NO
CLM000554,Credit Card,Medical,Indemnity,45183.14,NO
CLM000157,Check,Vehicle Repair,Indemnity,46678.14,NO
CLM000699,Direct Deposit,Vehicle Repair,Indemnity,46073.66,NO
CLM000673,Credit Card,Vehicle Repair,Indemnity,5895.09,NO
CLM000073,Direct Deposit,Medical,Expense,1091.41,YES
CLM000149,Check,Vehicle Repair,Expense,28004.83,YES
CLM000169,Credit Card,Property Damage,Indemnity,49460.03,NO
CLM000435,Credit Card,Medical,Expense,37336.48,NO
CLM000355,Credit Card,Medical,Indemnity,22205.58,NO
CLM000620,Credit Card,Vehicle Repair,Indemnity,21837.42,YES
CLM000824,Check,Vehicle Repair,Indemnity,37998.2,YES
CLM000080,Credit Card,Medical,Indemnity,27509.72,NO
CLM000335,Credit Card,Vehicle Repair,Expense,22289.12,YES
CLM000820,Credit Card,Vehicle Repair,Expense,2521.42,YES
CLM000076,Credit Card,Property Damage,Expense,4873.28,YES
CLM000314,Direct Deposit,Medical,Indemnity,22519.19,YES
CLM000267,Direct Deposit,Vehicle Repair,Indemnity,8631.98,YES
CLM000382,Check,Vehicle Repair,Indemnity,15798.58,NO
CLM000440,Credit Card,Medical,Indemnity,18907.59,YES
CLM000907,Check,Vehicle Repair,Expense,26414.82,NO
CLM000808,Check,Property Damage,Expense,38011.41,YES
CLM000149,Credit Card,Property Damage,Indemnity,40440.16,NO
CLM000056,Credit Card,Property Damage,Expense,44828.13,NO
CLM000057,Check,Property Damage,Indemnity,28242.55,YES
CLM000917,Check,Vehicle Repair,Expense,34734.12,NO
CLM000304,Check,Medical,Indemnity,7953.67,YES
CLM000955,Check,Medical,Expense,1736.34,NO
CLM000785,Direct Deposit,Vehicle Repair,Indemnity,18742.88,YES
CLM000727,Check,Property Damage,Indemnity,8568.5,NO
CLM000014,Direct Deposit,Property Damage,Expense,648.87,NO
CLM000359,Direct Deposit,Vehicle Repair,Expense,8620.65,YES
CLM000729,Direct Deposit,Vehicle Repair,Indemnity,8617.42,YES
CLM000189,Check,Medical,Indemnity,34193.6,YES
CLM000520,Check,Property Damage,Indemnity,7367.94,YES
CLM000705,Direct Deposit,Medical,Expense,44459.77,NO
CLM000942,Credit Card,Vehicle Repair,Indemnity,35324.24,NO
CLM000099,Credit Card,Medical,Expense,15519.53,YES
CLM000789,Check,Vehicle Repair,Expense,20870.91,NO
CLM000885,Direct Deposit,Medical,Expense,38309.17,NO
CLM000541,Direct Deposit,Property Damage,Indemnity,29364.6,YES
CLM000195,Check,Medical,Indemnity,47922.1,NO
CLM000553,Direct Deposit,Property Damage,Expense,35148.38,NO
CLM000695,Credit Card,Medical,Indemnity,7211.59,NO
CLM000362,Check,Medical,Indemnity,13943.45,NO
CLM000748,Credit Card,Vehicle Repair,Expense,39928.96,YES
CLM000528,Check,Property Damage,Expense,47524.27,NO
CLM000361,Check,Vehicle Repair,Expense,47872.1,NO
CLM000179,Direct Deposit,Medical,Indemnity,8962.95,NO
CLM000737,Direct Deposit,Property Damage,Indemnity,43055.65,YES
CLM000659,Direct Deposit,Property Damage,Indemnity,24157.67,NO
CLM000245,Direct Deposit,Medical,Indemnity,4173.12,NO
CLM000578,Check,Vehicle Repair,Indemnity,26583.37,YES
CLM000990,Check,Vehicle Repair,Indemnity,42765.25,NO
CLM000039,Credit Card,Vehicle Repair,Expense,23009.13,NO
CLM000864,Credit Card,Property Damage,Expense,44153.91,NO
CLM000525,Direct Deposit,Medical,Expense,19498.46,NO
CLM000481,Check,Property Damage,Indemnity,15970.12,NO
CLM000139,Credit Card,Property Damage,Expense,31133.29,NO
CLM000151,Direct Deposit,Vehicle Repair,Expense,48411.52,YES
CLM000412,Direct Deposit,Vehicle Repair,Expense,37820.1,NO
CLM000927,Check,Property Damage,Indemnity,19598.8,NO
CLM000569,Direct Deposit,Medical,Expense,43248.8,YES
CLM000905,Credit Card,Vehicle Repair,Expense,39725.83,NO
CLM000292,Direct Deposit,Medical,Indemnity,42148.92,NO
CLM000385,Check,Property Damage,Indemnity,11193.41,YES
CLM000249,Direct Deposit,Property Damage,Indemnity,12241.35,NO
CLM000284,Check,Medical,Expense,41905.31,NO
CLM000573,Credit Card,Medical,Indemnity,32550.9,YES
CLM000411,Check,Property Damage,Indemnity,17012.78,NO
CLM000844,Direct Deposit,Property Damage,Expense,9877.18,NO
CLM000876,Direct Deposit,Vehicle Repair,Indemnity,24497.01,YES
CLM000285,Check,Vehicle Repair,Indemnity,16995.76,YES
CLM000910,Direct Deposit,Medical,Indemnity,20024.67,NO
CLM000594,Credit Card,Medical,Indemnity,26461.46,YES
CLM000919,Check,Vehicle Repair,Expense,8076.08,NO
CLM000484,Credit Card,Property Damage,Expense,38756.93,YES
CLM000807,Direct Deposit,Property Damage,Expense,20544.37,NO
CLM000553,Check,Property Damage,Indemnity,49915.32,YES
CLM000277,Credit Card,Vehicle Repair,Expense,12549.72,YES
CLM000724,Direct Deposit,Property Damage,Expense,22556.7,YES
CLM000704,Credit Card,Medical,Expense,6970.29,YES
CLM000236,Credit Card,Property Damage,Indemnity,31121.28,YES
CLM000062,Check,Medical,Expense,40126.7,YES
CLM000223,Check,Medical,Expense,39651.87,NO
CLM000361,Direct Deposit,Medical,Indemnity,30269.06,YES
CLM000624,Credit Card,Property Damage,Expense,28027.39,YES
CLM000353,Direct Deposit,Property Damage,Indemnity,45034.55,NO
CLM000262,Direct Deposit,Vehicle Repair,Expense,27072.16,NO
CLM000567,Credit Card,Property Damage,Expense,24204.21,NO
CLM000235,Direct Deposit,Medical,Indemnity,41777.72,YES
CLM000955,Credit Card,Property Damage,Indemnity,36751.06,YES
CLM000506,Check,Vehicle Repair,Expense,47966.17,YES
CLM000373,Credit Card,Vehicle Repair,Indemnity,8024.7,NO
CLM000642,Credit Card,Vehicle Repair,Expense,8885.98,NO
CLM000835,Direct Deposit,Vehicle Repair,Expense,6671.66,YES
CLM000168,Check,Property Damage,Indemnity,33574.93,NO
CLM000193,Direct Deposit,Medical,Indemnity,36399.97,YES
CLM000003,Check,Vehicle Repair,Indemnity,2178.76,NO
CLM000573,Direct Deposit,Property Damage,Indemnity,690.49,YES
CLM000214,Check,Property Damage,Expense,7356.94,NO
CLM000236,Credit Card,Vehicle Repair,Expense,3311.3,NO
CLM000593,Direct Deposit,Property Damage,Indemnity,39679.56,NO
CLM000870,Credit Card,Property Damage,Indemnity,8447.74,NO
CLM000305,Credit Card,Vehicle Repair,Indemnity,39962.3,NO
CLM000037,Credit Card,Property Damage,Indemnity,34577.37,NO
CLM000359,Credit Card,Medical,Indemnity,37075.43,NO
CLM000405,Check,Vehicle Repair,Indemnity,7403.5,YES
CLM000678,Direct Deposit,Property Damage,Expense,26028.74,NO
CLM000824,Direct Deposit,Medical,Indemnity,47054.88,YES
CLM000761,Credit Card,Medical,Indemnity,10142.83,YES
CLM000847,Credit Card,Medical,Indemnity,4192.71,YES
CLM000318,Direct Deposit,Medical,Indemnity,39683.06,NO
CLM000686,Check,Property Damage,Expense,22585.17,NO
CLM000792,Check,Property Damage,Indemnity,1020.78,NO
CLM000464,Credit Card,Vehicle Repair,Expense,37208.04,YES
CLM000975,Credit Card,Medical,Expense,42341.4,NO
CLM000640,Direct Deposit,Medical,Expense,10164.97,YES
CLM000683,Check,Vehicle Repair,Indemnity,10885.22,YES
CLM000186,Direct Deposit,Vehicle Repair,Expense,43047.16,YES
CLM000474,Credit Card,Medical,Expense,26840.22,YES
CLM000104,Check,Property Damage,Indemnity,25778.17,YES
CLM000479,Credit Card,Property Damage,Expense,28656.64,YES
CLM000445,Direct Deposit,Property Damage,Expense,4350.39,NO
CLM000692,Credit Card,Medical,Expense,32377.69,YES
CLM000803,Check,Property Damage,Indemnity,45172.33,YES
CLM000532,Credit Card,Property Damage,Indemnity,40622.15,NO
CLM000217,Credit Card,Property Damage,Indemnity,10228.0,YES
CLM000077,Check,Vehicle Repair,Indemnity,12906.58,YES
CLM000602,Check,Vehicle Repair,Indemnity,13195.6,YES
CLM000681,Direct Deposit,Medical,Indemnity,22017.59,YES
CLM000173,Direct Deposit,Medical,Indemnity,22354.35,NO
CLM000542,Credit Card,Vehicle Repair,Expense,29276.56,YES
CLM000370,Credit Card,Medical,Indemnity,43108.07,NO
CLM000568,Direct Deposit,Medical,Indemnity,9003.25,NO
CLM000794,Credit Card,Property Damage,Indemnity,34467.26,YES
CLM000083,Check,Vehicle Repair,Expense,30466.03,NO
CLM000281,Check,Property Damage,Expense,39940.74,NO
CLM000670,Credit Card,Medical,Expense,11688.07,NO
CLM000193,Check,Property Damage,Expense,9201.56,YES
CLM000696,Credit Card,Vehicle Repair,Expense,15839.94,YES
CLM000942,Credit Card,Medical,Indemnity,19052.61,YES
CLM000465,Check,Vehicle Repair,Indemnity,30878.94,NO
CLM000616,Check,Vehicle Repair,Indemnity,46715.19,NO
CLM000038,Direct Deposit,Medical,Expense,42757.18,YES
CLM000278,Credit Card,Property Damage,Indemnity,25699.18,NO
CLM000969,Credit Card,Property Damage,Expense,24710.48,NO
CLM000807,Check,Vehicle Repair,Indemnity,6250.56,NO
CLM000959,Direct Deposit,Property Damage,Indemnity,23933.76,YES
CLM000218,Direct Deposit,Vehicle Repair,Expense,47914.3,YES
CLM000883,Credit Card,Property Damage,Indemnity,33145.83,YES
CLM000295,Check,Property Damage,Expense,12568.54,NO
CLM000883,Check,Medical,Expense,48234.97,NO
CLM000125,Direct Deposit,Medical,Expense,39331.36,YES
CLM000114,Direct Deposit,Vehicle Repair,Indemnity,7670.06,YES
CLM000924,Direct Deposit,Property Damage,Expense,36320.28,NO
CLM000624,Direct Deposit,Vehicle Repair,Expense,46558.97,YES
CLM000585,Credit Card,Medical,Indemnity,6434.87,YES
CLM000743,Check,Medical,Indemnity,9757.77,YES
CLM000489,Credit Card,Vehicle Repair,Indemnity,19062.1,NO
CLM000906,Credit Card,Vehicle Repair,Indemnity,1463.27,YES
CLM000840,Credit Card,Vehicle Repair,Expense,16003.63,NO
CLM000431,Check,Property Damage,Expense,11086.45,NO
CLM000538,Direct Deposit,Property Damage,Indemnity,20143.3,YES
CLM000046,Direct Deposit,Vehicle Repair,Expense,7786.39,YES
CLM000727,Direct Deposit,Vehicle Repair,Expense,2189.27,NO
CLM000893,Direct Deposit,Medical,Expense,37161.56,YES
CLM000245,Credit Card,Medical,Indemnity,2170.36,YES
CLM000431,Direct Deposit,Medical,Indemnity,37435.91,YES
CLM000777,Credit Card,Medical,Expense,47689.37,YES
CLM000979,Direct Deposit,Vehicle Repair,Expense,1798.12,YES
CLM000736,Check,Medical,Indemnity,1239.01,NO
CLM000388,Check,Vehicle Repair,Indemnity,6448.23,YES
CLM000392,Check,Property Damage,Indemnity,27781.31,YES
CLM000298,Credit Card,Vehicle Repair,Expense,26312.24,NO
CLM000023,Credit Card,Medical,Indemnity,27994.26,YES
CLM000977,Direct Deposit,Medical,Expense,3356.56,YES
CLM000632,Direct Deposit,Medical,Indemnity,18266.87,YES
CLM000823,Check,Vehicle Repair,Expense,36741.18,NO
CLM000728,Check,Medical,Expense,3041.72,NO
CLM000908,Check,Property Damage,Indemnity,22882.53,NO
CLM000190,Direct Deposit,Medical,Indemnity,28783.48,NO
CLM000527,Check,Property Damage,Indemnity,21812.5,NO
CLM000920,Credit Card,Vehicle Repair,Expense,18895.96,NO
CLM000005,Check,Medical,Indemnity,28262.59,YES
CLM000807,Check,Medical,Expense,7700.46,NO
CLM000181,Check,Medical,Expense,23644.37,NO
CLM000737,Check,Vehicle Repair,Expense,10188.51,NO
CLM000073,Check,Vehicle Repair,Indemnity,29275.69,YES
CLM000952,Check,Property Damage,Expense,27399.09,YES
CLM000062,Direct Deposit,Medical,Indemnity,35079.96,YES
CLM000469,Check,Property Damage,Expense,120.19,YES
CLM000840,Direct Deposit,Medical,Indemnity,344.79,YES
CLM000314,Credit Card,Property Damage,Indemnity,6481.08,NO
CLM000008,Credit Card,Property Damage,Indemnity,466.19,YES
CLM000410,Check,Property Damage,Indemnity,5675.84,NO
CLM000221,Credit Card,Medical,Expense,17821.25,NO
CLM000138,Check,Property Damage,Indemnity,25504.35,YES
CLM000612,Direct Deposit,Vehicle Repair,Expense,44894.03,NO
CLM000064,Check,Vehicle Repair,Indemnity,36397.93,YES
CLM000426,Check,Medical,Indemnity,47474.64,NO
CLM000710,Credit Card,Vehicle Repair,Indemnity,22272.19,NO
CLM000742,Direct Deposit,Medical,Expense,25443.76,NO
CLM000983,Check,Property Damage,Expense,26042.9,YES
CLM000080,Check,Medical,Indemnity,35357.64,NO
CLM000680,Direct Deposit,Vehicle Repair,Expense,28553.69,YES
CLM000050,Check,Medical,Expense,27038.42,YES
CLM000577,Credit Card,Vehicle Repair,Expense,13668.78,YES
CLM000667,Credit Card,Vehicle Repair,Expense,33939.47,YES
CLM000256,Direct Deposit,Vehicle Repair,Indemnity,44381.16,YES
CLM000394,Check,Vehicle Repair,Expense,30620.27,NO
CLM000500,Check,Vehicle Repair,Indemnity,46658.25,YES
CLM000501,Direct Deposit,Vehicle Repair,Indemnity,5047.77,NO
CLM000623,Direct Deposit,Medical,Indemnity,27481.38,YES
CLM000383,Direct Deposit,Medical,Indemnity,43371.46,YES
CLM000619,Credit Card,Vehicle Repair,Indemnity,44680.06,NO
CLM000853,Credit Card,Vehicle Repair,Indemnity,30723.66,YES
CLM000913,Direct Deposit,Medical,Indemnity,286.13,NO
CLM000404,Check,Property Damage,Expense,15279.62,NO
CLM000554,Credit Card,Vehicle Repair,Expense,42758.58,YES
CLM000688,Check,Property Damage,Expense,28114.2,YES
CLM000908,Credit Card,Medical,Expense,11993.84,NO
CLM000992,Check,Medical,Expense,27008.04,YES
CLM000011,Direct Deposit,Property Damage,Indemnity,27433.87,YES
CLM000156,Direct Deposit,Property Damage,Indemnity,19333.56,NO
CLM000625,Check,Property Damage,Indemnity,28929.92,NO
CLM000391,Check,Property Damage,Indemnity,40695.64,YES
CLM000628,Credit Card,Vehicle Repair,Indemnity,6468.51,YES
CLM000023,Credit Card,Medical,Indemnity,11183.12,NO
CLM000475,Credit Card,Property Damage,Expense,3667.33,NO
CLM000075,Credit Card,Medical,Expense,1491.85,NO
CLM000036,Direct Deposit,Property Damage,Expense,19175.24,YES
CLM000323,Check,Vehicle Repair,Indemnity,5884.81,NO
CLM000047,Check,Vehicle Repair,Expense,40275.72,NO
CLM000228,Credit Card,Property Damage,Expense,30633.82,YES
CLM000717,Credit Card,Medical,Indemnity,12788.87,NO
CLM000066,Credit Card,Medical,Expense,6407.29,YES
CLM000997,Credit Card,Medical,Indemnity,35374.58,NO
CLM000544,Direct Deposit,Property Damage,Indemnity,10626.49,YES
CLM000077,Credit Card,Medical,Indemnity,30039.55,YES
CLM000820,Credit Card,Vehicle Repair,Indemnity,48644.04,YES
CLM000796,Direct Deposit,Vehicle Repair,Indemnity,35354.89,YES
CLM000904,Direct Deposit,Property Damage,Expense,19198.3,NO
CLM000007,Credit Card,Vehicle Repair,Indemnity,48933.5,YES
CLM000829,Direct Deposit,Property Damage,Expense,727.33,NO
CLM000969,Check,Vehicle Repair,Expense,3340.91,NO
CLM000655,Direct Deposit,Medical,Indemnity,38989.27,YES
CLM000862,Direct Deposit,Medical,Expense,25513.05,YES
CLM000497,Direct Deposit,Vehicle Repair,Expense,46898.97,NO
CLM000096,Credit Card,Medical,Expense,596.1,NO
CLM000518,Check,Medical,Indemnity,12873.78,YES
CLM000119,Credit Card,Vehicle Repair,Indemnity,49738.49,YES
CLM000515,Check,Vehicle Repair,Indemnity,27209.09,NO
CLM000074,Credit Card,Medical,Expense,46423.42,NO
CLM000641,Direct Deposit,Property Damage,Indemnity,49339.14,NO
CLM000601,Direct Deposit,Vehicle Repair,Indemnity,5597.46,YES
CLM000581,Check,Vehicle Repair,Indemnity,17669.98,YES
CLM000597,Credit Card,Medical,Expense,28726.49,NO
CLM000722,Credit Card,Property Damage,Expense,1823.04,YES
CLM000646,Check,Property Damage,Expense,32925.99,NO
CLM000032,Credit Card,Medical,Indemnity,30363.27,NO
CLM000079,Direct Deposit,Property Damage,Expense,19579.21,NO
CLM000483,Check,Property Damage,Indemnity,23360.0,YES
CLM000353,Credit Card,Property Damage,Indemnity,13960.41,YES
CLM000180,Credit Card,Property Damage,Expense,24872.11,NO
CLM000626,Credit Card,Vehicle Repair,Expense,40479.72,NO
CLM000031,Check,Medical,Indemnity,30493.53,NO
CLM000471,Credit Card,Property Damage,Indemnity,26082.53,YES
CLM000694,Direct Deposit,Vehicle Repair,Expense,46630.36,NO
CLM000205,Credit Card,Medical,Expense,35073.75,NO
CLM000803,Check,Vehicle Repair,Expense,16246.24,NO
CLM000960,Check,Property Damage,Indemnity,46097.42,NO
CLM000159,Credit Card,Property Damage,Expense,43832.28,YES
CLM000785,Check,Property Damage,Indemnity,21249.11,NO
CLM000017,Check,Property Damage,Expense,3433.93,YES
CLM000679,Check,Medical,Expense,6625.59,YES
CLM000286,Direct Deposit,Vehicle Repair,Expense,41381.16,NO
CLM000626,Direct Deposit,Medical,Indemnity,38503.84,YES
CLM000243,Check,Medical,Indemnity,11064.42,NO
CLM000066,Direct Deposit,Medical,Indemnity,36241.31,NO
CLM000187,Credit Card,Vehicle Repair,Indemnity,10548.99,NO
CLM000216,Check,Medical,Expense,27339.07,NO
CLM000889,Credit Card,Vehicle Repair,Indemnity,36701.44,YES
CLM000086,Check,Property Damage,Indemnity,19795.55,NO
CLM000102,Direct Deposit,Property Damage,Expense,49738.58,YES
CLM000708,Credit Card,Property Damage,Indemnity,34402.6,YES
CLM000878,Credit Card,Property Damage,Indemnity,10988.82,NO
CLM000186,Credit Card,Vehicle Repair,Expense,28510.51,YES
CLM000985,Check,Medical,Expense,48608.15,NO
CLM000245,Credit Card,Medical,Indemnity,9124.8,NO
CLM000987,Credit Card,Medical,Indemnity,47872.66,YES
CLM000594,Credit Card,Property Damage,Indemnity,11734.93,NO
CLM000715,Credit Card,Property Damage,Indemnity,47209.87,YES
CLM000302,Direct Deposit,Vehicle Repair,Expense,8713.12,NO
CLM000223,Direct Deposit,Medical,Expense,20930.25,NO
CLM000528,Credit Card,Vehicle Repair,Expense,13733.49,YES
CLM000524,Credit Card,Property Damage,Indemnity,25624.04,NO
CLM000239,Check,Medical,Expense,12575.86,YES
CLM000706,Direct Deposit,Property Damage,Expense,34170.04,YES
CLM000896,Credit Card,Property Damage,Expense,25366.06,NO
CLM000069,Credit Card,Vehicle Repair,Indemnity,18680.76,NO
CLM000588,Check,Medical,Indemnity,20113.75,YES
CLM000599,Credit Card,Property Damage,Indemnity,8427.06,NO
CLM000551,Check,Medical,Indemnity,48087.78,YES
CLM000417,Check,Medical,Indemnity,31885.08,YES
CLM000172,Check,Medical,Expense,25122.68,YES
CLM000310,Credit Card,Medical,Indemnity,23013.4,YES
CLM000866,Check,Vehicle Repair,Indemnity,17834.63,YES
CLM000695,Direct Deposit,Property Damage,Expense,45834.22,YES
CLM000221,Credit Card,Medical,Expense,41568.28,YES
CLM000259,Credit Card,Property Damage,Indemnity,27263.03,YES
CLM000351,Check,Medical,Expense,11723.78,YES
CLM000268,Direct Deposit,Vehicle Repair,Expense,42615.35,YES
CLM000668,Check,Vehicle Repair,Indemnity,35428.75,YES
CLM000642,Direct Deposit,Medical,Indemnity,1947.64,NO
CLM000379,Credit Card,Vehicle Repair,Indemnity,32330.41,YES
CLM000197,Credit Card,Medical,Expense,20070.0,NO
CLM000227,Check,Vehicle Repair,Indemnity,17244.17,NO
CLM000742,Check,Vehicle Repair,Indemnity,19714.47,YES
CLM000209,Credit Card,Vehicle Repair,Expense,9708.01,NO
CLM000888,Credit Card,Vehicle Repair,Indemnity,10287.17,NO
CLM000321,Credit Card,Vehicle Repair,Expense,33275.36,YES
CLM000560,Credit Card,Property Damage,Expense,14462.64,YES
CLM000647,Direct Deposit,Vehicle Repair,Expense,22047.72,NO
CLM000026,Credit Card,Medical,Indemnity,5111.11,NO
CLM000499,Credit Card,Medical,Indemnity,31131.96,NO
CLM000364,Credit Card,Vehicle Repair,Indemnity,33543.59,YES
CLM000916,Direct Deposit,Medical,Expense,16979.31,NO
CLM000699,Direct Deposit,Vehicle Repair,Expense,26656.61,YES
CLM000812,Credit Card,Vehicle Repair,Expense,1829.89,NO
CLM000298,Direct Deposit,Property Damage,Expense,17472.94,YES
CLM000074,Check,Property Damage,Indemnity,47411.6,NO
CLM000048,Credit Card,Vehicle Repair,Expense,16699.52,NO
CLM000266,Check,Vehicle Repair,Indemnity,2872.2,YES
CLM000096,Check,Property Damage,Indemnity,3932.78,NO
CLM000434,Direct Deposit,Vehicle Repair,Expense,25794.79,YES
CLM000550,Credit Card,Vehicle Repair,Indemnity,17789.21,NO
CLM000980,Check,Vehicle Repair,Indemnity,31955.8,YES
CLM000308,Credit Card,Property Damage,Indemnity,46641.76,NO
CLM000372,Check,Vehicle Repair,Expense,25524.98,YES
CLM000199,Credit Card,Vehicle Repair,Indemnity,19413.3,YES
CLM000877,Direct Deposit,Medical,Expense,44536.1,NO
CLM000524,Direct Deposit,Property Damage,Indemnity,9937.28,NO
CLM000347,Direct Deposit,Medical,Expense,25466.88,NO
CLM000865,Direct Deposit,Vehicle Repair,Expense,22695.43,YES
